code,write_class,binding_state,handler_file,audit_channel,verdict
fleet.model.define,domain_write,bound_page,Equipments/fleet_models.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
found.close,domain_write,bound_page,Portal/founding_mode.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
fs.close,domain_write,bound_page,Finance/financial_statements_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
fv.settle,domain_write,alias,Financing/deviations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
fx.set,domain_write,bound_page,Finance/currencies_fin.php,ems_business_events,"covered — مركزي + قناة قبل/بعد"
gate.equip,domain_write,bound_page,Operations/site_gate_equip.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
gate.pass,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
gate.person,domain_write,bound_page,Operations/site_gate_person.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
glass.break,domain_write,bound_page,Governance/break_glass.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
guard.enforce,domain_write,bound_page,Governance/guards.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
hire.offer,domain_write,bound_page,Workforce/recruitment_pipeline.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
house.assign,domain_write,bound_page,Workforce/housing_units.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
idle.close,domain_write,alias,Financing/deviations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
insp.decide,domain_write,bound_page,Maintenance/inspections.php,"EventPublisher (via mnt_helpers.php)","covered — مركزي + قناة قبل/بعد"
insp.submit,domain_write,bound_page,Maintenance/inspections.php,"EventPublisher (via mnt_helpers.php)","covered — مركزي + قناة قبل/بعد"
inst.generate,domain_write,alias,Financing/installments.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
inst.prepay,domain_write,alias,Financing/installments.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
inv.issue,domain_write,bound_page,Contracts/tax_invoices.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
item.critical,domain_write,bound_page,Procurement/items_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
je.post,domain_write,bound_page,Finance/journal_form_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
kpi.report,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
leave.approve,domain_write,bound_page,Workforce/worker_leave_absence.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
lic.expire,domain_write,bound_page,Governance/licenses_guarantees.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
link.record,domain_write,bound_page,Financing/ownership_links.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
margin.compute,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
match.exception,domain_write,bound_page,Procurement/po_match.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
meter.fix,domain_write,bound_page,Equipments/meter_readings.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
meter.read,domain_write,bound_page,Timesheet/timesheet.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
model.approve,domain_write,bound_page,Financing/fin_models.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
module.toggle,domain_write,bound_page,Settings/modules.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
move.execute,domain_write,bound_page,Workforce/worker_movement.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
name.merge,domain_write,bound_page,Governance/canonical_names.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
op.assign,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
op.code,domain_write,bound_page,Employees/equipment_operators.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
op.deactivate,domain_write,bound_page,Employees/equipment_operators.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
operator.swap,domain_write,alias,Operations/swap_request.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
opm.approve,domain_write,bound_page,Workforce/op_monthly.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
opp.qualify,domain_write,bound_page,Opportunities/opportunities.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
org.change,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
owner.link,domain_write,alias,Financing/asset_disposal.php,action_execution_log,"covered — مركزي + قناة قبل/بعد"
pay.execute,domain_write,bound_page,Finance/payments_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
pay.prioritize,domain_write,bound_page,Finance/dues_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
pay.request,domain_write,bound_page,Finance/payments_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
payroll.approve,domain_write,bound_page,Workforce/payroll_runs.php,sensitive_read_log,"covered — مركزي + قناة قبل/بعد"
pc.sign,domain_write,bound_page,Workforce/project_contracts.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
pc.trigger,domain_write,bound_page,Workforce/project_contracts.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
penalty.compute,domain_write,bound_page,Contracts/penalties.php,EventPublisher,"covered — مركزي + قناة قبل/بعد"
perf.compute,domain_write,bound_page,Operations/unit_perf.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
perf.penalty,domain_write,bound_page,Suppliers/supplier_capacity.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
period.close,domain_write,alias,app/Services/Finance/PeriodicEventService.php,EventPublisher,"covered — مركزي + قناة قبل/بعد"
permit.grant,domain_write,bound_page,admin/org_permits.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
permit.issue,domain_write,bound_page,Transport/transfer_permits.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
plan.approve,domain_write,bound_page,Operations/daily_plan.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
plan.commit,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
plan.copy,domain_write,bound_page,Operations/daily_plan.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
plan.submit,domain_write,bound_page,Operations/daily_plan.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
pm.generate,domain_write,bound_page,Maintenance/preventive_plans.php,"EventPublisher (via mnt_helpers.php)","covered — مركزي + قناة قبل/بعد"
po.issue,domain_write,bound_page,Procurement/orders_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
po.receive.partial,domain_write,bound_page,Procurement/orders_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
pr.approve,domain_write,bound_page,Procurement/requests_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
pr.raise,domain_write,bound_page,Procurement/requests_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
price.approve,domain_write,bound_page,Clients/pricelists.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
price.trigger,domain_write,bound_page,Contracts/price_terms.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
prod.confirm,domain_write,bound_page,Operations/production.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
prod.save,domain_write,bound_page,Operations/production.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
prof.update,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
project.charter,domain_write,bound_page,Portal/project_charter.php,publishFact,"covered — مركزي + قناة قبل/بعد"
project.create,domain_write,bound_page,Projects/projects.php,publishFact,"covered — مركزي + قناة قبل/بعد"
prov.use,domain_write,bound_page,Finance/maintenance_provision_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
prt.create,domain_write,bound_page,Governance/portal_users.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
pwd.change,domain_write,bound_page,Settings/change_password.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
qual.grant,domain_write,bound_page,Workforce/op_qual.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
quota.allocate,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
quota.consume,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
quota.post,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
quote.accept,domain_write,bound_page,Clients/quotations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
rec.collect,domain_write,bound_page,Contracts/collections.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
rec.provision,domain_write,bound_page,Contracts/collections.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
recon.close,domain_write,bound_page,Equipments/asset_recon.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
recon.match,domain_write,bound_page,Finance/bank_reconciliation_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
recur.escalate,domain_write,bound_page,Tickets/ticket_recurrence.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
reg.audit,domain_write,bound_page,Workforce/contract_registry.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
rel.publish,domain_write,bound_page,Portal/release_stamp.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
review.block,domain_write,bound_page,Portal/contract_review.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
review.close,domain_write,bound_page,Governance/access_review.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
rfq.award,domain_write,alias,Procurement/rfq_compare_award.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
rfq.quote,domain_write,alias,Procurement/rfq_compare_award.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
risk.decide,domain_write,bound_page,Portal/ceo_risk.php,publishFact,"covered — مركزي + قناة قبل/بعد"
risk.log,domain_write,bound_page,Clients/commercial_risks.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
role.create,domain_write,bound_page,Settings/roles.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
role.template,domain_write,bound_page,Settings/roles.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
room.intervene,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
rot.schedule,domain_write,bound_page,Workforce/rotation.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
route.auto,domain_write,bound_page,Tickets/ticket_types_config.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
route.define,domain_write,bound_page,FinRequests/routing_admin.php,log_security_event,"covered — مركزي + قناة قبل/بعد"
rpt.export,governance_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
rule.define,domain_write,bound_page,Suppliers/supplier_rules.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
sadv.grant,domain_write,bound_page,Suppliers/supplier_advances.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
sales.model.define,domain_write,bound_page,Portal/business_models.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
sc.activate,domain_write,bound_page,Suppliers/supplierscontracts.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
se.register,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
settle.approve,domain_write,bound_page,Suppliers/settlements.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
share.record,domain_write,alias,Financing/asset_disposal.php,action_execution_log,"covered — مركزي + قناة قبل/بعد"
shift.assign,domain_write,bound_page,Operations/site_shift_plan.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
shift.close,domain_write,bound_page,Operations/shift_log.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
sm.define,domain_write,bound_page,Governance/state_machines.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
sod.enforce,domain_write,bound_page,admin/sec_governance.php,activity_logs,"covered — مركزي + قناة قبل/بعد"
source.set,domain_write,bound_page,Equipments/equipment_sourcing.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
stmt.client.issue,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
stmt.issue,domain_write,bound_page,Finance/supplier_statement_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
stock.count,domain_write,alias,Procurement/wh_count.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
stock.issue,domain_write,bound_page,Procurement/issue_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
stock.receive,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
stock.reorder,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
stock.reserve,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
stop.attribute,domain_write,alias,Operations/stops_unattributed.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
stop.record,domain_write,alias,Operations/stops_unattributed.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
supp.close,domain_write,bound_page,Suppliers/supplier_closure.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
supp.eval,domain_write,alias,Financing/deviations.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
supplier.activate,domain_write,bound_page,Suppliers/suppliers.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
supplier.evaluate,domain_write,bound_page,Suppliers/suppliers.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
svc.define,domain_write,bound_page,Clients/products.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
tariff.set,domain_write,bound_page,Transport/transfer_tariffs.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
task.done,domain_write,bound_page,Portal/my_tasks.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
tax.file,domain_write,bound_page,Contracts/tax_invoices.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
tcf.define,domain_write,bound_page,Tickets/ticket_types_config.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
