id	door	door_title	requirement	acceptance_test	state	evidence
OWF-0005-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ محاسبُ الموقعِ حلقةٌ في اعتمادِ التايم شيت: يعتمد مع مديرِ الموقعِ في المحطةِ الثانيةِ من دورةِ وحداتِ العمل	اختبارُ حكم: صفرُ اعتمادٍ يوميٍّ للتايم شيتِ بيدٍ واحدةٍ في موقعٍ له محاسب	غير مقيس	
OWF-0006-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-02» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0006-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ فمن يشهد بالواقعةِ ميدانيًّا ومن يشهد بأثرِها المحاسبيِّ حلقةٌ واحدةٌ بيدين — لا يدٌ واحدة	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0007-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-03»	اختبارُ حكم: محاولةُ صرفٍ بيدٍ واحدةٍ تُرفض في الخادمِ برمزٍ وسبب	غير مقيس	
OWF-0007-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ ويعتمد صرفَ المشترياتِ الميدانيةِ من العهدة: الصرفُ من عهدةِ الموقعِ بيدين: مديرُ الموقعِ ومحاسبُ الموقعِ	اختبارُ حكم: محاولةُ صرفٍ بيدٍ واحدةٍ تُرفض في الخادمِ برمزٍ وسبب	غير مقيس	
OWF-0007-ج	٤-٢	محاسبُ الموقعِ والعهدة	ثم تصفيةٌ بمستنداتٍ مؤيِّدة	اختبارُ حكم: محاولةُ صرفٍ بيدٍ واحدةٍ تُرفض في الخادمِ برمزٍ وسبب	غير مقيس	
OWF-0008-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-03» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0008-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ ولا صرفَ منفردٌ ولو من مديرِ الموقع · فالعهدةُ مالٌ في يدٍ وحيازةُ المالِ تحتاج شهادتين	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0009-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-04» — ويعتمد جردَ المخازنِ في موقعه — نطاقُ الحكم	اختبارُ حكم: صفرُ محضرِ جردٍ معتمدٍ بلا حضورِ محاسبِ الموقع	غير مقيس	
OWF-0009-ب	٤-٢	محاسبُ الموقعِ والعهدة	الجردُ الدوريُّ والمفاجئُ يُعتمد بحضورِه	اختبارُ حكم: صفرُ محضرِ جردٍ معتمدٍ بلا حضورِ محاسبِ الموقع	غير مقيس	
OWF-0009-ج	٤-٢	محاسبُ الموقعِ والعهدة	والفرقُ يُسجَّل بسببِه ويُرفع فوقَ الحد	اختبارُ حكم: صفرُ محضرِ جردٍ معتمدٍ بلا حضورِ محاسبِ الموقع	غير مقيس	
OWF-0010	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-04»: ◆ فأمينُ المخزنِ لا يشهد على جردِ ما في حيازتِه وحدَه	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0011-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-05» — ◆ وما لا يملكه محاسبُ الموقع — نطاقُ الحكم	اختبارُ حكم: محاولةُ أيٍّ من الخمسةِ تُرفض برمزٍ وسبب	غير مقيس	
OWF-0011-ب	٤-٢	محاسبُ الموقعِ والعهدة	لا يعتمد مستخلصَ عميلٍ ولا مستحقَّ موردٍ ولا قيدًا في الأستاذ · ولا ينفّذ تحويلًا بنكيًّا · ولا يُقفل فترةً	اختبارُ حكم: محاولةُ أيٍّ من الخمسةِ تُرفض برمزٍ وسبب	غير مقيس	
OWF-0012-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-05» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0012-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ فهو حلقةُ إثباتٍ ميدانيةٍ لا سلطةٌ ماليةٌ مركزية · والأثرُ الماليُّ يقع في المركزِ بعد اعتمادِه	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0013-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-06» — ◆ تصنيفُه المحاسبيُّ الحادي عشر — نطاقُ الحكم	اختبارُ حكم: صفرُ محاسبِ موقعٍ يرى بياناتِ موقعٍ غيرِ موقعه	غير مقيس	
OWF-0013-ب	٤-٢	محاسبُ الموقعِ والعهدة	يُضاف تخصصًا حاديَ عشرَ إلى التخصصاتِ العشرةِ: محاسبُ الموقعِ الميداني	اختبارُ حكم: صفرُ محاسبِ موقعٍ يرى بياناتِ موقعٍ غيرِ موقعه	غير مقيس	
OWF-0014-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-06» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0014-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ ونطاقُه موقعُه وحدَه	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0014-ج	٤-٢	محاسبُ الموقعِ والعهدة	ولا يرى موقعًا آخرَ ولا مستوًى مركزيًّا	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0015-أ	٤-٢	محاسبُ الموقعِ والعهدة	حكمٌ نافذ «SA-07» — ◆ وفصلُ واجباتٍ جديدٌ يُضاف — نطاقُ الحكم	اختبارُ حكم: قيدٌ بنيويٌّ يرفض تكليفًا يجمع أيًّا من الزوجين	غير مقيس	
OWF-0015-ب	٤-٢	محاسبُ الموقعِ والعهدة	أمينُ المخزنِ لا يُجمع مع محاسبِ الموقعِ في حسابٍ واحد · ومحاسبُ الموقعِ لا يُجمع مع مديرِ الموقع	اختبارُ حكم: قيدٌ بنيويٌّ يرفض تكليفًا يجمع أيًّا من الزوجين	غير مقيس	
OWF-0016-أ	٤-٢	محاسبُ الموقعِ والعهدة	حجّةُ «SA-07» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0016-ب	٤-٢	محاسبُ الموقعِ والعهدة	◆ فالجمعُ يُبطل الشهادتين ويجعل الصرفَ والجردَ بيدٍ واحدة	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0017-أ	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حكمٌ نافذ «OA-01» — ◆ مديرُ التشغيلِ لا سلطةَ ماليةَ له — نطاقُ الحكم	اختبارُ حكم: صفرُ اعتمادٍ ماليٍّ مصدرُه مديرُ التشغيل	غير مقيس	
OWF-0017-ب	٤-٣	سلطةُ مديرِ التشغيلِ المالية	يعتمد الواقعةَ والجاهزيةَ والوحداتِ والتخصيصَ	اختبارُ حكم: صفرُ اعتمادٍ ماليٍّ مصدرُه مديرُ التشغيل	غير مقيس	
OWF-0017-ج	٤-٣	سلطةُ مديرِ التشغيلِ المالية	ولا يعتمد مبلغًا ولا صرفًا ولا التزامًا	اختبارُ حكم: صفرُ اعتمادٍ ماليٍّ مصدرُه مديرُ التشغيل	غير مقيس	
OWF-0018-أ	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حجّةُ «OA-01» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0018-ب	٤-٣	سلطةُ مديرِ التشغيلِ المالية	◆ فسلطتُه سلطةُ إثباتِ عملٍ لا سلطةُ إنفاقِ مال · والمالُ أثرٌ لا مصدر	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0019-أ	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حكمٌ نافذ «OA-02»	اختبارُ حكم: اعتمادٌ بنيابةٍ يُسجَّل بسببِ الغيابِ ومدتِه — وصفرُ نيابةٍ منفردة	غير مقيس	
OWF-0019-ب	٤-٣	سلطةُ مديرِ التشغيلِ المالية	◆ ويحلُّ محلَّ مديرِ الموقعِ عند غيابِه وحدَه: عند غيابِ مديرِ الموقعِ يعتمد مديرُ التشغيلِ محلَّه	اختبارُ حكم: اعتمادٌ بنيابةٍ يُسجَّل بسببِ الغيابِ ومدتِه — وصفرُ نيابةٍ منفردة	غير مقيس	
OWF-0019-ج	٤-٣	سلطةُ مديرِ التشغيلِ المالية	مع محاسبِ الموقعِ لا منفردًا	اختبارُ حكم: اعتمادٌ بنيابةٍ يُسجَّل بسببِ الغيابِ ومدتِه — وصفرُ نيابةٍ منفردة	غير مقيس	
OWF-0020	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حجّةُ «OA-02»: ◆ فالنيابةُ تنقل الحلقةَ ولا تُلغي اليدَ الثانية	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0021-أ	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حكمٌ نافذ «OA-03» — والنيابةُ بتفويضٍ مكتوبٍ بمدةٍ ونطاق — نطاقُ الحكم	اختبارُ حكم: صفرُ اعتمادٍ بنيابةٍ بلا تفويضٍ سارٍ مسجَّل	غير مقيس	
OWF-0021-ب	٤-٣	سلطةُ مديرِ التشغيلِ المالية	لا تفويضَ شفويٌّ ولا مفتوحُ المدة · ويُسجَّل في مصفوفةِ الموافقاتِ قبلَ السريان	اختبارُ حكم: صفرُ اعتمادٍ بنيابةٍ بلا تفويضٍ سارٍ مسجَّل	غير مقيس	
OWF-0022	٤-٣	سلطةُ مديرِ التشغيلِ المالية	حجّةُ «OA-03»: ◆ ونيابةٌ بلا تفويضٍ مسجَّلٍ لا تمنح صلاحيةً واحدة	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0023-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-01»	اختبارُ حكم: صفرُ عقدٍ نافذٍ بلا حقلِ مسؤوليةِ الوقودِ محدَّدًا	غير مقيس	
OWF-0023-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ مسؤوليةُ الوقودِ حقلٌ تعاقديٌّ بخيارين: في كلِّ عقدِ عميلٍ حقلٌ إلزاميّ: الوقودُ التزامُ العميلِ أم التزامُ الشركة — ولا يُفترض	اختبارُ حكم: صفرُ عقدٍ نافذٍ بلا حقلِ مسؤوليةِ الوقودِ محدَّدًا	غير مقيس	
OWF-0024-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-01» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0024-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ فالخيارُ يقلب الدورةَ كلَّها: التزامُ العميلِ كمياتٌ تُستلم · والتزامُ الشركةِ مصروفٌ يُقيَّد وسعرٌ يُسجَّل	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0025-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-02» — ◆ الوقودُ في الموقعِ كمياتٌ لا مال — نطاقُ الحكم	اختبارُ حكم: صفرُ حقلِ سعرٍ أو قيمةٍ في شاشاتِ استلامِ الوقودِ وصرفِه بالموقع	غير مقيس	
OWF-0025-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	يُستلم في المخزنِ بالكميةِ ويُصرف يوميًّا للمعداتِ بالكمية	اختبارُ حكم: صفرُ حقلِ سعرٍ أو قيمةٍ في شاشاتِ استلامِ الوقودِ وصرفِه بالموقع	غير مقيس	
OWF-0025-ج	٤-٤	نموذجُ الوقودِ كمياتٍ	وصفرُ سعرٍ وصفرُ قيمةٍ في شاشاتِ الموقع	اختبارُ حكم: صفرُ حقلِ سعرٍ أو قيمةٍ في شاشاتِ استلامِ الوقودِ وصرفِه بالموقع	غير مقيس	
OWF-0026-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-02» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0026-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ فالموقعُ يُثبت الكميةَ والمركزُ يُقيّم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0026-ج	٤-٤	نموذجُ الوقودِ كمياتٍ	والقيمةُ في الموقعِ تُفسد فصلَ الإثباتِ عن التقييم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0027-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-03»	اختبارُ حكم: كلُّ استلامٍ بدوريتِه المتعاقدةِ — وصفرُ استلامٍ بلا دورية	غير مقيس	
OWF-0027-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	استلامُ الوقودِ من العميلِ بالكميةِ يوميًّا أو بالوردية: يُسجَّل يوميًّا · ويجوز تسجيلُه لكلِّ ورديةٍ منفصلةً حين يقتضي التشغيلُ ذلك	اختبارُ حكم: كلُّ استلامٍ بدوريتِه المتعاقدةِ — وصفرُ استلامٍ بلا دورية	غير مقيس	
OWF-0028-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-03» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0028-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ والدوريةُ تُحدَّد في العقدِ لا تُترك لاختيارِ المُدخِل	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0029-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-04»	اختبارُ حكم: صفرُ صرفِ وقودٍ بلا معدةٍ وكميةٍ وقراءةِ عدّاد	غير مقيس	
OWF-0029-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	الصرفُ اليوميُّ للمعداتِ بالكميةِ ومعرّفِ المعدة: لكلِّ معدةٍ صرفُها اليوميُّ بالكميةِ وقارئُ عدّادِها وساعاتُ تشغيلِها	اختبارُ حكم: صفرُ صرفِ وقودٍ بلا معدةٍ وكميةٍ وقراءةِ عدّاد	غير مقيس	
OWF-0030-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-04» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0030-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ فيُنتَج معدلُ استهلاكِ الساعةِ لكلِّ معدةٍ	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0030-ج	٤-٤	نموذجُ الوقودِ كمياتٍ	وهو مؤشرُ كفاءةٍ وكشفُ تسريب	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0031-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-05» — ◆ عند التزامِ الشركةِ بالوقود — نطاقُ الحكم	اختبارُ حكم: صفرُ سعرِ وقودٍ مُدخَلٍ خارجَ المالية	غير مقيس	
OWF-0031-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	السعرُ في الماليةِ وحدَها: يُسجَّل سعرُ الشراءِ في الإدارةِ الماليةِ عند عمليةِ الشراءِ	اختبارُ حكم: صفرُ سعرِ وقودٍ مُدخَلٍ خارجَ المالية	غير مقيس	
OWF-0031-ج	٤-٤	نموذجُ الوقودِ كمياتٍ	ويُقيَّد مصروفَ وقودٍ بأبعادِه التسعة	اختبارُ حكم: صفرُ سعرِ وقودٍ مُدخَلٍ خارجَ المالية	غير مقيس	
OWF-0032-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-05» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0032-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	◆ ولا يُدخَل سعرٌ في الموقعِ ولو كان الوقودُ علينا · فالسعرُ بيتُه المالية	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0033-أ	٤-٤	نموذجُ الوقودِ كمياتٍ	حكمٌ نافذ «FU-06» — ◆ عند التزامِ العميلِ — نطاقُ الحكم	اختبارُ حكم: صفرُ قيدٍ ماليٍّ لوقودٍ التزامُه على العميل	غير مقيس	
OWF-0033-ب	٤-٤	نموذجُ الوقودِ كمياتٍ	الكميةُ تُطابَق ولا تُقيَّم: تُطابَق الكميةُ المستلَمةُ بالمصروفةِ ويُرفع الفرقُ	اختبارُ حكم: صفرُ قيدٍ ماليٍّ لوقودٍ التزامُه على العميل	غير مقيس	
OWF-0033-ج	٤-٤	نموذجُ الوقودِ كمياتٍ	ولا قيدَ ولا قيمةَ ولا مطالبةَ إلا في العجزِ التعاقدي	اختبارُ حكم: صفرُ قيدٍ ماليٍّ لوقودٍ التزامُه على العميل	غير مقيس	
OWF-0034	٤-٤	نموذجُ الوقودِ كمياتٍ	حجّةُ «FU-06»: ◆ والفرقُ فوقَ الحدِّ يُنشر إشارةَ خطرٍ لا يُهمَل	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0035-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حكمٌ نافذ «SB-01»	اختبارُ حكم: ساعاتُ استعدادٍ معتمدةٌ تُفوتَر بالسعرِ الكاملِ بلا خصم	غير مقيس	
OWF-0035-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ الاستعدادُ يُفوتَر للعميلِ بالسعرِ الكامل: المعدةُ جاهزةٌ ومشغّلُها حاضرٌ ولم تعمل بسببٍ من العميلِ	اختبارُ حكم: ساعاتُ استعدادٍ معتمدةٌ تُفوتَر بالسعرِ الكاملِ بلا خصم	غير مقيس	
OWF-0035-ج	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	فتُفوتَر ساعاتُها كاملةً كأنها عملت	اختبارُ حكم: ساعاتُ استعدادٍ معتمدةٌ تُفوتَر بالسعرِ الكاملِ بلا خصم	غير مقيس	
OWF-0036-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حجّةُ «SB-01» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0036-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ فالجاهزيةُ مبيعةٌ لا العملُ وحدَه · والعميلُ حجز طاقةً فيُدفع ثمنُها استُعملت أو لم تُستعمل	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0037-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حكمٌ نافذ «SB-02»	اختبارُ حكم: كلُّ توقفٍ سببُه العميلُ يُوسَم استعدادًا آليًّا — وصفرُ توقفٍ من العميلِ موسومٍ تعطلًا	غير مقيس	
OWF-0037-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ كلُّ تعطلٍ سببُه العميلُ يُسمّى استعدادًا	اختبارُ حكم: كلُّ توقفٍ سببُه العميلُ يُوسَم استعدادًا آليًّا — وصفرُ توقفٍ من العميلِ موسومٍ تعطلًا	غير مقيس	
OWF-0037-ج	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	عامًّا لا في الوقودِ وحدَه: أيُّ توقفٍ سببُه إخلالُ العميلِ بالتزامٍ تعاقديٍّ يُوسَم استعدادًا ويُفوتَر كاملًا: تأخرُ وقودِه · أو عدمُ تجهيزِ الموقعِ · أو منعُ الدخولِ · أو عدمُ توفيرِ وجهةِ التفريغِ · أو تأخرُ إذنٍ من مسؤوليتِه	اختبارُ حكم: كلُّ توقفٍ سببُه العميلُ يُوسَم استعدادًا آليًّا — وصفرُ توقفٍ من العميلِ موسومٍ تعطلًا	غير مقيس	
OWF-0038-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حجّةُ «SB-02» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0038-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ فالعلةُ ليست نوعَ الالتزامِ بل مَن أخلَّ به · ومن حجز طاقةً ثم منع استعمالَها يدفع ثمنَها · وقائمةُ الأسبابِ مفتوحةٌ لا حصريةٌ وكلُّ سببٍ جديدٍ يُنسب إلى طرفٍ فإن كان العميلَ فهو استعداد	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0039-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حكمٌ نافذ «SB-03»	اختبارُ حكم: صفرُ ساعةِ تعطلٍ مفوترةٍ للعميلِ أو مخصومةٍ من الموردِ بحكمِ التعطلِ وحدَه	غير مقيس	
OWF-0039-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ التعطلُ لا يُحتسب ولا يُخصَم من المورد: ساعاتُ التعطلِ لا تُفوتَر للعميلِ ولا تُخصَم من مستحقِّ المورد	اختبارُ حكم: صفرُ ساعةِ تعطلٍ مفوترةٍ للعميلِ أو مخصومةٍ من الموردِ بحكمِ التعطلِ وحدَه	غير مقيس	
OWF-0039-ج	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	بل تُسجَّل ولا تُحتسب	اختبارُ حكم: صفرُ ساعةِ تعطلٍ مفوترةٍ للعميلِ أو مخصومةٍ من الموردِ بحكمِ التعطلِ وحدَه	غير مقيس	
OWF-0040-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حجّةُ «SB-03» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0040-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ فالخصمُ عقوبةٌ والتعطلُ واقعةٌ · ولا يُعاقَب طرفٌ على واقعةٍ حتى تُنسب إليه بدليل	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0041-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حكمٌ نافذ «SB-04»	اختبارُ حكم: كلُّ تعطلٍ له نسبةُ سببٍ مسجَّلةٌ — وصفرُ تعطلٍ بلا طرفٍ مسؤول	غير مقيس	
OWF-0041-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ والعجزُ يُحتسب على الطرفِ الذي كان السبب: بعدَ التعطلِ يُنسب سببُه إلى طرفٍ: الموردُ أو الشركةُ أو العميلُ	اختبارُ حكم: كلُّ تعطلٍ له نسبةُ سببٍ مسجَّلةٌ — وصفرُ تعطلٍ بلا طرفٍ مسؤول	غير مقيس	
OWF-0041-ج	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	ويُحتسب عجزًا عليه بأحكامِ عقدِه	اختبارُ حكم: كلُّ تعطلٍ له نسبةُ سببٍ مسجَّلةٌ — وصفرُ تعطلٍ بلا طرفٍ مسؤول	غير مقيس	
OWF-0042-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حجّةُ «SB-04» — نطاقُ الحكم	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0042-ب	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	◆ فالتعطلُ حالةُ الساعةِ والعجزُ حكمُ المسؤولية — ولا يُدمجان	اختبارُ حجّة: الحجّةُ مكتوبةٌ ومفحوصة	غير مقيس	
OWF-0043-أ	٤-٥	الاستعدادُ والتعطلُ وأثرُ كلٍّ	حكمٌ نافذ «SB-05» — ◆ من يقرر الحالةَ — نطاقُ الحكم	اختبارُ حكم: صفرُ قرارِ حالةٍ بيدٍ واحدةٍ — والمصدرُ مسجَّلٌ: مشرفُ عميلٍ أم مديرُ مبيعات	غير مقيس	
