canonical_code,screen,real_path,resolution,live_code,new_state,note
board.drill,"لوحة المدير التنفيذي",Portal/ceo_board.php,page,page:Portal/ceo_board.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
bridge.link,"جسر ترقيم المعدات",Equipments/code_bridge.php,page,page:Equipments/code_bridge.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
budget.approve,"الموازنة العامة",Finance/budget_master.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
budget.commit,"الموازنة العامة",Finance/budget_master.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
budget.request,"ميزانية إدارتي",Finance/budget_dept.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
cal.approve,"جدول عمل المنجم — الأسبوعي والشهري",Operations/site_work_calendar.php,page,page:Operations/site_work_calendar.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cap.measure,"طاقة المورد وجاهزيته ومهلة الإحلال",Suppliers/supplier_capacity.php,page,page:Suppliers/supplier_capacity.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cap.switch,"صفاتي والتبديل بينها",user_capacities.php,page,page:user_capacities.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
carrier.assign,"اللوابد والمركبات الناقلة",Transport/transfer_fleet.php,page,page:Transport/transfer_fleet.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cash.forecast,"التدفق النقدي والتنبؤ",Finance/cash_forecast_fin.php,page,page:Finance/cash_forecast_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
ceo.approve,"اعتمادات المدير التنفيذي",Portal/ceo_approvals.php,page,page:Portal/ceo_approvals.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
ceo.sign,"توقيع العقود والالتزامات",Portal/ceo_contracts.php,page,page:Portal/ceo_contracts.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cert.issue,"شهادة إنجازي",Portal/my_certificate.php,page,page:Portal/my_certificate.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
change.record,"تغيّرات عقود التمويل",Financing/fin_changes.php,page,page:Financing/fin_changes.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
claim.client.approve,"المستخلصات والمطالبات",Contracts/claims.php,page,page:Contracts/claims.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
claim.issue,"المستخلصات والمطالبات",Contracts/claims.php,page,page:Contracts/claims.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
client.create,"سجل العملاء",Clients/clients.php,page,page:Clients/clients.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
code.assign,"أرقام المشغّلين الشاغرة",Workforce/op_codes.php,page,page:Workforce/op_codes.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cons.flag,"استهلاك المعدة ومعدله",Procurement/consumption_rate.php,page,page:Procurement/consumption_rate.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
contract.activate,"عقود العملاء",Contracts/contracts.php,handler_ref,ajax.contracts.contractequipments_handler,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ ajax.contracts.contractequipments_handler"
contract.sign,"عقود الموظفين",Employees/employee_contracts.php,page,page:Employees/employee_contracts.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cost.allocate,"توزيع تكلفة التمويل على المشاريع",Financing/cost_allocation.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
cost.compute,"التكاليف والربحية بالمركز",Finance/cost_report_fin.php,page,page:Finance/cost_report_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cov.define,"التزام العقد بنوع المعدة",Contracts/contract_coverage.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
custody.return,"العهد والمرتجعات",Procurement/receipt_custody_proc.php,page,page:Procurement/receipt_custody_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
cycle.measure,"زمن دورة الطلبات",FinRequests/cycle_time_board.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
ded.approve,"الخصومات والجزاءات",Workforce/deductions.php,page,page:Workforce/deductions.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
ded.propose,"خصومات المشغّلين المقترحة",Workforce/proposed_deductions.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
deleg.grant,"التفويض بالتوقيع",Governance/signing_authority.php,page,page:Governance/signing_authority.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
denial.review,"المحاولات الممنوعة",admin/audit_log.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
dep.policy,"سياسات الإهلاك المعتمدة",Equipments/fleet_depreciation_profiles.php,page,page:Equipments/fleet_depreciation_profiles.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
dep.post,"الإهلاك والقيمة الدفترية",Finance/assets_fin.php,page,page:Finance/assets_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
desk.post,"مهام المحاسب اليومية",FinRequests/accountant_desk.php,page,page:FinRequests/request_actions.php,bound_page,"مصدرُ الشاشةِ يستدعي ملفَّ المعالجِ الحيَّ FinRequests/request_actions.php"
dev.close,"انحرافات التمويل — السداد والملكية والتوثيق",Financing/deviations.php,handler_ref,financing.deviation.close,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.deviation.close"
doc.expire,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,page,page:Equipments/equipment_documents.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
dt.define,"سجل أنواع المستندات",Governance/doc_types.php,page,page:Governance/doc_types.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
emp.create,"سجل الموظفين",Employees/employees.php,page,page:Employees/employees.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
emp.settle,"تصفية إنهاء خدمة موظف",Workforce/final_settlement.php,page,page:Workforce/final_settlement.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
entity.create,"سجل الشركات والكيانات",Governance/entities_registry.php,page,page:Governance/entities_registry.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
eq.quota.allocate,"توزيع وحدات المورد على معداته",Operations/equipment_quota.php,page,page:Operations/equipment_quota.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
eq.quota.shift,"توزيع وحدات المورد على معداته",Operations/equipment_quota.php,page,page:Operations/equipment_quota.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
eqt.define,"أنواع المعدات وفئاتها",Equipments/equipments_types.php,page,page:Equipments/equipments_types.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
esc.auto,"مهل البلاغات وتصعيدها",Tickets/ticket_escalation_config.php,page,page:Tickets/ticket_escalation_config.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
eval.submit,تقييمي,Portal/my_evaluation.php,page,page:Portal/my_evaluation.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
evt.log,"سجل حركة العقد",Clients/contract_events.php,page,page:Clients/contract_events.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
exception.grant,"طلبات الاستثناء",Governance/exceptions.php,page,page:Governance/exceptions.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
exit.record,"الخروج غير المسجَّل من الملكية",Financing/deviations.php,handler_ref,financing.deviation.close,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.deviation.close"
fail.classify,"تصنيف الأعطال وأسبابها",Equipments/manage_failure_codes.php,page,page:Equipments/manage_failure_codes.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
field.classify,"سياسات الحقول الحساسة",Governance/sensitive_fields.php,page,page:Governance/sensitive_fields.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
fin.close,"إقفال الفترة المحاسبية",Finance/periods_fin.php,page,page:Finance/periods_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
fin.entitle,"توليد المستحق من العمل المعتمد",Finance/entitlement_gate.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
fin.operation,"عمليات التمويل",Financing/financing_board.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
financier.create,"سجل الممولين",Financing/financiers_registry.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
fleet.model.define,"موديلات المعدات ومواصفاتها",Equipments/fleet_models.php,page,page:Equipments/fleet_models.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
found.close,"وضع التأسيس وإغلاقه",Portal/founding_mode.php,page,page:Portal/founding_mode.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
fs.close,"القوائم المالية",Finance/financial_statements_fin.php,page,page:Finance/financial_statements_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
fv.settle,"فروق السداد والاستحقاق",Financing/deviations.php,handler_ref,financing.deviation.close,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.deviation.close"
fx.set,"أسعار الصرف",Finance/currencies_fin.php,page,page:Finance/currencies_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
gate.equip,"أذون دخول وخروج المعدات",Operations/site_gate_equip.php,page,page:Operations/site_gate_equip.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
gate.pass,"فحص شروط الاستحقاق",Finance/entitlement_gate.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
gate.person,"أذون دخول وخروج المشغّلين",Operations/site_gate_person.php,page,page:Operations/site_gate_person.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
glass.break,"صلاحية الطوارئ اللحظية (كسر الزجاج)",Governance/break_glass.php,page,page:Governance/break_glass.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
guard.enforce,"تصنيف قواعد المنع",Governance/guards.php,page,page:Governance/guards.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
hire.offer,"التوظيف من الشاغر إلى المباشرة",Workforce/recruitment_pipeline.php,page,page:Workforce/recruitment_pipeline.php,bound_page,"المصدرُ يستدعي معالجاتِ كتابةٍ عدة: rec.stage.advance · rec.stage.reject · rec.vacancy.open — مراجعةٌ يدوية — الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
house.assign,"السكن والإعاشة والمعسكرات",Workforce/housing_units.php,page,page:Workforce/housing_units.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
idle.close,"عقود تمويل بلا حركة",Financing/deviations.php,handler_ref,financing.deviation.close,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.deviation.close"
insp.decide,"الفحص الفني اليومي",Maintenance/inspections.php,page,page:Maintenance/inspections.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
insp.submit,"الفحص الفني اليومي",Maintenance/inspections.php,page,page:Maintenance/inspections.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
inst.generate,"الأقساط ومواعيد السداد",Financing/installments.php,handler_ref,financing.installment.pay,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.installment.pay"
inst.prepay,"الأقساط ومواعيد السداد",Financing/installments.php,handler_ref,financing.installment.pay,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.installment.pay"
inv.issue,"فواتير العملاء",Contracts/tax_invoices.php,page,page:Contracts/tax_invoices.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
item.critical,"كتالوج الأصناف والقطع الحرجة",Procurement/items_proc.php,page,page:Procurement/items_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
je.post,"القيود اليومية",Finance/journal_form_fin.php,page,page:Finance/journal_form_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
kpi.report,"مؤشرات البلاغات",Tickets/ticket_dashboard.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
leave.approve,"الإجازات والغياب",Workforce/worker_leave_absence.php,page,page:Workforce/worker_leave_absence.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
lic.expire,"التراخيص والكفالات",Governance/licenses_guarantees.php,page,page:Governance/licenses_guarantees.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
link.record,"علاقات الملكية بين الكيانات",Financing/ownership_links.php,page,page:Financing/ownership_links.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
margin.compute,"هامش الربح للعقد والواقعة",Reports/margin_report.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
match.exception,"مطابقة الفاتورة بالأمر والاستلام",Procurement/po_match.php,page,page:Procurement/po_match.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
meter.fix,"قراءات العدّادات",Equipments/meter_readings.php,page,page:Equipments/meter_readings.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
meter.read,"تسجيل التايم شيت والإنتاج",Timesheet/timesheet.php,page,page:Timesheet/timesheet.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
model.approve,"نماذج التمويل ومعالجتها",Financing/fin_models.php,page,page:Financing/fin_models.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
module.toggle,"صفحات النظام والإدارات",Settings/modules.php,page,page:Settings/modules.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
move.execute,"تنقلات العاملين",Workforce/worker_movement.php,page,page:Workforce/worker_movement.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
msg.send,المراسلات,chats/index.php,exact,page:chats/send_message.php,bound_page,"معالجُ الإرسال الحيُّ — مثبَتٌ يدويًّا"
name.merge,"سجل الأسماء المعتمدة",Governance/canonical_names.php,page,page:Governance/canonical_names.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
op.assign,"تكليف المشغّل على المعدة",Operations/distribution_space.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
op.code,"سجل المشغّلين",Employees/equipment_operators.php,page,page:Employees/equipment_operators.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
op.deactivate,"سجل المشغّلين",Employees/equipment_operators.php,page,page:Employees/equipment_operators.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
opm.approve,"الأداء الشهري للمشغّل",Workforce/op_monthly.php,page,page:Workforce/op_monthly.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
opp.qualify,"الفرص والزيارات والمناقصات",Opportunities/opportunities.php,page,page:Opportunities/opportunities.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
org.change,"الهيكل التنظيمي والمسميات",admin/org_structure.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
owner.link,"ملّاك الأسطول",Financing/owners_registry.php,handler_ref,financing.share.transfer,alias,"مصدرُ الشاشةِ يستدعي معالجَ الكتابةِ الحيَّ financing.share.transfer"
pay.execute,"طلبات الدفع والسداد",Finance/payments_fin.php,page,page:Finance/payments_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pay.prioritize,"ذمم الموردين والمستحقات",Finance/dues_fin.php,page,page:Finance/dues_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pay.request,"طلبات الدفع والسداد",Finance/payments_fin.php,page,page:Finance/payments_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
payroll.approve,"مسيّر الرواتب",Workforce/payroll_runs.php,page,page:Workforce/payroll_runs.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pc.sign,"عقود المشاريع المؤقتة",Workforce/project_contracts.php,page,page:Workforce/project_contracts.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pc.trigger,"عقود المشاريع المؤقتة",Workforce/project_contracts.php,page,page:Workforce/project_contracts.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
penalty.compute,"الجزاءات والحوافز التعاقدية",Contracts/penalties.php,page,page:Contracts/penalties.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
perf.compute,"الأداء الشهري للوحدة",Operations/unit_perf.php,page,page:Operations/unit_perf.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
perf.penalty,"أداء الموردين وجاهزيتهم",Suppliers/supplier_capacity.php,page,page:Suppliers/supplier_capacity.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
perm.trace,"تفسير مصدر الصلاحية",Governance/perm_explain.php,page,page:Governance/perm_explain.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
permit.grant,"أذون الزيارة والمركبات الخارجية",admin/org_permits.php,page,page:admin/org_permits.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
permit.issue,"تصاريح المسار والحمولة",Transport/transfer_permits.php,page,page:Transport/transfer_permits.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
plan.approve,"خطة عمل الغد",Operations/daily_plan.php,page,page:Operations/daily_plan.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
plan.commit,"خطة معدات المورد المتعهَّد بها",Suppliers/equipment_plan.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
plan.copy,"خطة عمل الغد",Operations/daily_plan.php,page,page:Operations/daily_plan.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
plan.submit,"خطة عمل الغد",Operations/daily_plan.php,page,page:Operations/daily_plan.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pm.generate,"خطط الصيانة الوقائية",Maintenance/preventive_plans.php,page,page:Maintenance/preventive_plans.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
po.issue,"أوامر الشراء",Procurement/orders_proc.php,page,page:Procurement/orders_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
po.receive.partial,"أوامر الشراء",Procurement/orders_proc.php,page,page:Procurement/orders_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
portal.render,بوابتي,Portal/my_portal.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
pr.approve,"طلبات الشراء",Procurement/requests_proc.php,page,page:Procurement/requests_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pr.raise,"طلبات الشراء",Procurement/requests_proc.php,page,page:Procurement/requests_proc.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
price.approve,"قوائم التسعير المعتمدة",Clients/pricelists.php,page,page:Clients/pricelists.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
price.trigger,"آليات تعديل السعر",Contracts/price_terms.php,page,page:Contracts/price_terms.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
prod.confirm,"الإنتاج والقياس",Operations/production.php,page,page:Operations/production.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
prod.save,"الإنتاج والقياس",Operations/production.php,page,page:Operations/production.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
prof.update,"ملفي الشخصي",main/profile.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
project.charter,"قرار فتح مشروع جديد",Portal/project_charter.php,page,page:Portal/project_charter.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
project.create,"المشاريع والمواقع",Projects/projects.php,page,page:Projects/projects.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
prov.use,"مخصص الصيانة والعمرات",Finance/maintenance_provision_fin.php,page,page:Finance/maintenance_provision_fin.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
prt.create,"حسابات بوابة الأطراف الخارجية",Governance/portal_users.php,page,page:Governance/portal_users.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
pwd.change,"تغيير كلمة المرور",Settings/change_password.php,page,page:Settings/change_password.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
qual.grant,"تأهيل المشغّلين على أنواع المعدات",Workforce/op_qual.php,page,page:Workforce/op_qual.php,bound_page,"الشاشةُ تعالج أفعالَها بنفسها (POST ذاتي/حارس)"
quota.allocate,"حصص الموردين من العقود",Suppliers/shares_coverage.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
quota.consume,"حصص الموردين من العقود",Suppliers/shares_coverage.php,declared,,declared_unbuilt,"لا معالجَ مثبَتًا آليًّا — عرضٌ محضٌ أو معالجٌ غيرُ مقتفًى · للمراجعة اليدوية"
