n,route_1,route_2,"الترجيح الآلي","الحكم الفني"
46,Contracts/contract_payment_schedule.php,Contracts/contract_resource_plan.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: خطةُ الدفع (P-05) مقابل خطة الموارد (P-04) — خطتان مختلفتا الموضوع"
47,Settings/settings.php,Transport/transfer_types_config.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: بطاقاتُ الإعدادات العامة مقابل إعداد أنواع الترحيل الستة — كلمةُ «إعدادات» وحدها لا تجعلهما واحدًا؛ يلزم تفريقُ الاسم"
48,Suppliers/supplier_contract_lines.php,Suppliers/shares_coverage.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: البنودُ التعاقدية مقابل الحصص المشتقة من الحاويات — علاقةُ تغذيةٍ لا ازدواج"
49,Employees/equipment_operators.php,Workforce/proposed_deductions.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: السجلُ مقابل الخصوم المقترحة (fin_dues)"
50,Suppliers/suppliers.php,Risk/risk_dept_sup.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: سجلُ الكيان مقابل مساحة مخاطره (org_units·risk_*)"
51,Employees/employees.php,Workforce/employee_settlements.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: السجلُ مقابل التسويات (fin_dues·fin_requests)"
52,Clients/clients.php,Clients/activities.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: سجلُ العملاء مقابل أنشطة المبيعات (activities·opportunities)"
53,Suppliers/supplier_advances.php,Suppliers/suppliers.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: بوابةُ السلفيات (ما يُصرف خارج المستخلص) مقابل السجل"
54,Tickets/tickets_list.php,Tickets/ticket_form.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","قائمةٌ واستمارة لدورةٍ واحدة: وظيفتان متكاملتان لا ازدواج"
55,Settings/settings.php,Maintenance/master_data.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: إعداداتُ النظام مقابل كتالوجات الصيانة (mnt_lookup)"
56,Finance/fin_ratios.php,Finance/cfo_daily_board_fin.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: نسبٌ تحليلية بأهداف (fin_ratio_*) مقابل لوحة نقد اليوم"
57,Finance/cfo_daily_board_fin.php,Transport/transfer_dashboard.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مالية (fin_*) مقابل نقل (transfer_*)"
58,Finance/cfo_daily_board_fin.php,Maintenance/dashboard_mnt.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","وظيفتان مستقلتان: مالية (fin_*) مقابل صيانة (mnt_*)"
59,Tickets/tickets_list.php,Tickets/ticket_dashboard.php,"يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات","زاويتا نظرٍ لنفس tickets: قائمةُ عملٍ تشغيلية مقابل لوحة مؤشراتٍ قرائية — يبقيان"
