المعرف,وثيقته,النمط,نصه
IAM-016,E-05,أخرى,"الطلبات — نطاقُ الحكم § IAM-016 § اختبارُ وجودٍ وسلوك: بمعطى بيئةٍ مهيَّأةٍ لـ«ينشئ المستخدم طلباته بنفسه (إجازة · سلفة · عهدة · بد…» · وعند تنفيذ السيناريو الموصوف · فإن السلوكَ يطابق النصَّ ويُوثَّق الشاهدُ بلقطةٍ أو سجل"
IAM-018,M-14,أخرى,"آخر دخول وأجهزته · العمليات والطلبات والاعتمادات والتعديلات § IAM-018 § اختبارُ منع: بمعطى محاولةٍ تخالف «آخر دخول وأجهزته · العمليات والطلبات والاعتمادات وال…» · وعند تنفيذها · فإن الخادمَ يرفض برمزٍ وسببٍ ويُسجَّل الرفضُ بالمستخدم والوقت"
IAM-020,E-05,أخرى,"المساعد الشخصي — نطاقُ الحكم § IAM-020 § اختبارُ وجودٍ وسلوك: بمعطى بيئةٍ مهيَّأةٍ لـ«يجيب أسئلة المستخدم عن بياناته وحدها بلغة طبيعية» · وعند تنفيذ السيناريو الموصوف · فإن السلوكَ يطابق النصَّ ويُوثَّق الشاهدُ بلقطةٍ أو سجل"
IAM-021,E-05,ظهور,"ويمر كل استعلام له بحارس الصلاحيات قبل الإجابة ويُسجَّل في سجل النشاط § IAM-021 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«طبقة شرح فوق الأرقام» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
IAM-022,E-05,أخرى,"الخط الزمني — نطاقُ الحكم § IAM-022 § اختبارُ وجودٍ وسلوك: بمعطى بيئةٍ مهيَّأةٍ لـ«خط زمني واحد يجمع التاريخ المهني (التعيين · ملاحق ال…» · وعند تنفيذ السيناريو الموصوف · فإن السلوكَ يطابق النصَّ ويُوثَّق الشاهدُ بلقطةٍ أو سجل"
IAM-025,E-05,أخرى,"الفترة الحالية مقابل السابقة بالنسبة والفارق، ومقابل متوسط الفئة/الفريق بلا أسماء للآخرين إن لم تُمنح صلاحية رؤيتهم. § IAM-025 § اختبارُ حساب: بمعطى مدخلاتٍ معلومةٍ لـ«الفترة الحالية مقابل السابقة بالنسبة والفارق» · وعند إعادة الحساب من المصدر · فإن الناتجَ يطابق المعروضَ بلا فرق"
IAM-028,E-03,ظهور,"① بوابتي (لوحة) ② ملفي (تفاصيل بتبويبات كل بكود ظهوره) ③ طلباتي (إدخال) ④ اعتماداتي (اعتماد) ⑤ إنجازي (تقرير) ⑥ التقييم (معالج خطوات) ⑦ شهادة الإنجاز (طباعة) ⑧ خطي الزمني (قائمة زمنية). § IAM-028 § اختبارُ ظهور: بمعطى مستخدمٍ داخلَ النطاق وآخرَ خارجه لـ«① بوابتي (لوحة) ② ملفي (تفاصيل بتبويبات كل بكود ظهور…» · وعند فتح الشاشة · فإن الأولَ يرى نطاقَه والثانيَ لا يُصيَّر له العنصرُ ولا يُرسَل في الاستجابة"
SCN-001,E-03,"إتاحة شاشة","يجب أن تُتاح شاشةُ «شهادة إنجازي» لـمساحة عملي بنطاق ما يخصّه هو § SCN-001 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-002,E-03,إلزام,"يجب أن تحمل شاشةُ «شهادة إنجازي» أعمدتَها المعتمدةَ وعددُها 21 عمودًا § SCN-002 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-003,E-03,إلزام,"يجب أن يُنفَّذ فعلُ «إصدارُ شهادة إنجاز» من شاشة «شهادة إنجازي» بواسطة النظام، فيُكتب في certificates ويُنشر الحدثُ CertificateIssued ويستهلكه الموارد البشرية § SCN-003 § اختبارُ أثر: تنفيذُ الفعل يُحدث الشهادةُ تُصدَر بأرقامٍ من إنجازه المعتمد — ولا تُحرَّر يدوي"
SCN-004,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـإدارة الموقع بنطاق ما يخصّه هو § SCN-004 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-005,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـإدارة التشغيل بنطاق ما يخصّه هو § SCN-005 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-006,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـإدارة الصيانة بنطاق ما يخصّه هو § SCN-006 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-007,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالنقل والترحيل بنطاق ما يخصّه هو § SCN-007 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-008,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالمشتريات بنطاق ما يخصّه هو § SCN-008 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-009,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالمخازن بنطاق ما يخصّه هو § SCN-009 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-010,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالمبيعات والعقود بنطاق ما يخصّه هو § SCN-010 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-011,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـإدارة الموردين بنطاق ما يخصّه هو § SCN-011 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-012,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالقوى التشغيلية بنطاق ما يخصّه هو § SCN-012 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-013,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـإدارة الأسطول بنطاق ما يخصّه هو § SCN-013 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-014,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالموارد البشرية بنطاق ما يخصّه هو § SCN-014 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-015,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالمالية والخزينة بنطاق ما يخصّه هو § SCN-015 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-016,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالتمويل والملكية بنطاق ما يخصّه هو § SCN-016 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-017,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـمركز البلاغات بنطاق ما يخصّه هو § SCN-017 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-018,E-03,إلزام,"يجب أن تُعرض شاشةُ «شهادة إنجازي» لـالحوكمة والالتزام بنطاق ما يخصّه هو § SCN-018 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-019,E-03,"إتاحة شاشة","يجب أن تُتاح شاشةُ «تقييمي» لـمساحة عملي بنطاق ما يخصّه هو § SCN-019 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-020,E-03,إلزام,"يجب أن تحمل شاشةُ «تقييمي» أعمدتَها المعتمدةَ وعددُها 14 عمودًا، وأولُها رقم التقييم · الفترة · المقيَّم · المقيِّم · العلاقة · محاور التقييم. § — ذريّ § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-021,E-03,إلزام,"يجب أن يُنفَّذ فعلُ «تقديمُ تقييم» من شاشة «تقييمي» بواسطة الموظف، فيُكتب في evaluations ويُنشر الحدثُ EvaluationSubmitted ويستهلكه الموارد البشرية · المدير § SCN-021 § اختبارُ أثر: تنفيذُ الفعل يُحدث التقييمُ الثنائيُّ يُقفل بعد الطرفين · ويدخل ملفَّ الأداء"
SCN-022,E-03,إلزام,"يجب أن يقبل فعلُ «تقديمُ تقييم» عكسًا: إعادةُ فتحٍ بقرار. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-023,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـإدارة الموقع بنطاق ما يخصّه هو § SCN-023 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-024,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـإدارة التشغيل بنطاق ما يخصّه هو § SCN-024 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-025,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـإدارة الصيانة بنطاق ما يخصّه هو § SCN-025 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-026,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالنقل والترحيل بنطاق ما يخصّه هو § SCN-026 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-027,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالمشتريات بنطاق ما يخصّه هو § SCN-027 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-028,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالمخازن بنطاق ما يخصّه هو § SCN-028 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-029,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالمبيعات والعقود بنطاق ما يخصّه هو § SCN-029 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-030,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـإدارة الموردين بنطاق ما يخصّه هو § SCN-030 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-031,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالقوى التشغيلية بنطاق ما يخصّه هو § SCN-031 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-032,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـإدارة الأسطول بنطاق ما يخصّه هو § SCN-032 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-033,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالموارد البشرية بنطاق ما يخصّه هو § SCN-033 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-034,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالمالية والخزينة بنطاق ما يخصّه هو § SCN-034 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-035,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالتمويل والملكية بنطاق ما يخصّه هو § SCN-035 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-036,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـمركز البلاغات بنطاق ما يخصّه هو § SCN-036 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-037,E-03,إلزام,"يجب أن تُعرض شاشةُ «تقييمي» لـالحوكمة والالتزام بنطاق ما يخصّه هو § SCN-037 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-038,E-03,"إتاحة شاشة","يجب أن تُتاح شاشةُ «ملفي الشخصي» لـمساحة عملي بنطاق ما يخصّه هو § SCN-038 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-039,E-03,إلزام,"يجب أن تحمل شاشةُ «ملفي الشخصي» أعمدتَها المعتمدةَ وعددُها 15 عمودًا، وأولُها كود الموظف · الاسم · رقم الهوية · تاريخ الميلاد · الهاتف · البريد. § — ذريّ § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-040,E-03,إلزام,"يجب أن يُنفَّذ فعلُ «تحديثُ بياناتي» من شاشة «ملفي الشخصي» بواسطة الموظف، فيُكتب في persons · change_requests ويُنشر الحدثُ ProfileUpdateRequested ويستهلكه الموارد البشرية § SCN-040 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحقولُ الحساسةُ تحتاج اعتمادَ الموارد · والباقي يُحدَّث مبا"
SCN-041,E-03,إلزام,"يجب أن يقبل فعلُ «تحديثُ بياناتي» عكسًا: رفضٌ بسبب. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-042,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـإدارة الموقع بنطاق ما يخصّه هو § SCN-042 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-043,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـإدارة التشغيل بنطاق ما يخصّه هو § SCN-043 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-044,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـإدارة الصيانة بنطاق ما يخصّه هو § SCN-044 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-045,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالنقل والترحيل بنطاق ما يخصّه هو § SCN-045 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-046,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالمشتريات بنطاق ما يخصّه هو § SCN-046 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-047,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالمخازن بنطاق ما يخصّه هو § SCN-047 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-048,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالمبيعات والعقود بنطاق ما يخصّه هو § SCN-048 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-049,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـإدارة الموردين بنطاق ما يخصّه هو § SCN-049 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-050,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالقوى التشغيلية بنطاق ما يخصّه هو § SCN-050 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-051,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـإدارة الأسطول بنطاق ما يخصّه هو § SCN-051 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-052,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالموارد البشرية بنطاق ما يخصّه هو § SCN-052 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-053,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالمالية والخزينة بنطاق ما يخصّه هو § SCN-053 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-054,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالتمويل والملكية بنطاق ما يخصّه هو § SCN-054 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-055,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـمركز البلاغات بنطاق ما يخصّه هو § SCN-055 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-056,E-03,إلزام,"يجب أن تُعرض شاشةُ «ملفي الشخصي» لـالحوكمة والالتزام بنطاق ما يخصّه هو § SCN-056 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-057,E-03,"إتاحة شاشة","يجب أن تُتاح شاشةُ «صفاتي والتبديل بينها» لـمساحة عملي بنطاق ما يخصّه هو § SCN-057 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-058,E-03,إلزام,"يجب أن تحمل شاشةُ «صفاتي والتبديل بينها» أعمدتَها المعتمدةَ وعددُها 20 عمودًا، وأولُها كود الحساب · الشخص · الصفة · الكيان · الإدارة · الدور. § — ذريّ § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-059,E-03,أخرى,"ولا تتسرب صلاحيةُ صفةٍ إلى أخرى · والتبديلُ يُسجَّل. § SCN-059 § اختبارُ أثر: تنفيذُ الفعل يُحدث المساحةُ تتغير كليًّا — ولا تتسرب صلاحيةُ صفةٍ إلى أخرى · وا"
SCN-060,E-03,إلزام,"يجب أن يقبل فعلُ «التبديلُ بين صفاتي» عكسًا: رجوعٌ للصفة السابقة. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-061,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـإدارة الموقع بنطاق ما يخصّه هو § SCN-061 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-062,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـإدارة التشغيل بنطاق ما يخصّه هو § SCN-062 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-063,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـإدارة الصيانة بنطاق ما يخصّه هو § SCN-063 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-064,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالنقل والترحيل بنطاق ما يخصّه هو § SCN-064 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-065,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالمشتريات بنطاق ما يخصّه هو § SCN-065 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-066,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالمخازن بنطاق ما يخصّه هو § SCN-066 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-067,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالمبيعات والعقود بنطاق ما يخصّه هو § SCN-067 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-068,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـإدارة الموردين بنطاق ما يخصّه هو § SCN-068 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-069,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالقوى التشغيلية بنطاق ما يخصّه هو § SCN-069 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-070,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـإدارة الأسطول بنطاق ما يخصّه هو § SCN-070 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-071,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالموارد البشرية بنطاق ما يخصّه هو § SCN-071 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-072,E-03,إلزام,"يجب أن تُعرض شاشةُ «صفاتي والتبديل بينها» لـالمالية والخزينة بنطاق ما يخصّه هو § SCN-072 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
