الإدارة,الترتيب,المرحلة,المجموعة,الشاشة,"المستند الناتج","الدور المسؤول","الحالة التالية"
"ادارة التشغيل",0.1.2,"لوحة الإدارة","مساحتي الشخصية","إنجازي · Portal/my_achievement.php","requests · tasks · workflow  [nav09_map]","إدارة الصلاحيات","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",0.1.3,"لوحة الإدارة","مساحتي الشخصية","بوابتي · Portal/my_portal.php","requests · tasks · workflow  [nav09_map]","إدارة الصلاحيات","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",0.1.4,"لوحة الإدارة","مساحتي الشخصية","طلباتي · FinRequests/my_requests.php","requests · tasks · workflow  [nav09_map]","ادارة الصيانة","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",0.1.5,"لوحة الإدارة","مساحتي الشخصية","المراسلات · chats/index.php","requests · tasks · workflow  [nav09_map]","— لا وحدة","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",0.2.6,"لوحة الإدارة","غرفة العمليات ولوحة المواقع","غرفة عمليات المواقع · Operations/operations_room.php","requests · tasks · workflow  [nav09_map]","ادارة التشغيل","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",0.2.7,"لوحة الإدارة","غرفة العمليات ولوحة المواقع","توزيع المعدات والمشغّلين · Operations/distribution_space.php","requests · tasks · workflow  [nav09_map]","إدارة الموقع","الطلبُ يدخل صندوقَ اعتماد المعنيّ بمساره — ويظهر في «طلباتي» بحالته · المهمةُ تُقفل · والخطوةُ التاليةُ تُفتح لصاحبها · ومهلةُ المسار تُحدَّث · تُصيَّر المكوّناتُ التي منحته إياها الحوكمةُ وحدَها · ومشغّلُ المعدة يرى معدتَه ومشغّلَها الآخر · يُعاد الحسابُ  [nav09_map]"
"ادارة التشغيل",1.103.8,"أولًا: خطة الشهر","العقود والتغطية","عقود العملاء · Contracts/contracts.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","ادارة التشغيل","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",1.103.9,"أولًا: خطة الشهر","العقود والتغطية","التزام العقد بنوع المعدة · Contracts/contract_coverage.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","— لا وحدة","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",1.103.10,"أولًا: خطة الشهر","العقود والتغطية","الوحدات التعاقدية المرقَّمة · Operations/containers.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","ادارة التشغيل","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",1.104.11,"أولًا: خطة الشهر","حصص الموردين وحاوياتها","حصص الموردين من العقود · Suppliers/shares_coverage.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","ادارة الموردين","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",1.104.12,"أولًا: خطة الشهر","حصص الموردين وحاوياتها","توزيع وحدات المورد على معداته · Operations/equipment_quota.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","ادارة الموردين","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",1.105.13,"أولًا: خطة الشهر","اعتماد خطط المواقع","خطة عمل الغد · Operations/daily_plan.php","contracts · contract_events · contracts.state · obligations · daily_plans · daily_plans · resource_locks · daily_plans.state · equipment_quota · audit · equipment_quota · quota_ledger · op_containers · unit_entries · unit_approvals  [nav09_map]","ادارة الاسطول","supplier_id على المقعدِ وحصتُه allocated — ويستدعي F-06 · الحارسُ يفحص Σ حصص المعدات ≤ حصة المورد · والمعدةُ الاحتياطيةُ تُقبل بصفر · والتخصيصُ الميدانيُّ يُقيَّد بالحصة · الحارسُ يفحص التأهيلَ والجاهزيةَ والوثائق · والمواردُ تُحجز مبدئيًّا · الحاويةُ الر  [nav09_map]"
"ادارة التشغيل",2.206.14,"ثانيًا: توزيع الموارد","التوزيع والتخصيص","توزيع المعدات والمشغّلين · Operations/distribution_space.php#2","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","إدارة الموقع","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",2.206.15,"ثانيًا: توزيع الموارد","التوزيع والتخصيص","سجل المعدات · Equipments/equipments.php","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","إدارة الأسطول  [إدارة]","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",2.206.16,"ثانيًا: توزيع الموارد","التوزيع والتخصيص","تكليف المشغّل على المعدة · Operations/distribution_space.php#3","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","إدارة الموقع","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",2.207.17,"ثانيًا: توزيع الموارد","الإسناد للوحدات","إسناد المعدات للوحدات · Operations/containers.php#2","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","ادارة التشغيل","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",2.208.18,"ثانيًا: توزيع الموارد","الجاهزية والترحيل","جاهزية المعدات للتشغيل · Fleet/readiness_board.php","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","ادارة الاسطول","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",2.208.19,"ثانيًا: توزيع الموارد","الجاهزية والترحيل","طلبات الترحيل · Transport/transfer_requests.php","حالةُ الوحدةِ «معتمدةٌ يوميًّا»  [LAD-01]","إدارة النقل والترحيل","الإهلاكُ يتوقف · والقيمةُ تُقفل · والتخصيصاتُ تُنهى · والحصصُ تُغلق · كرتٌ بكودٍ دائم · وطلبُ تفتيشٍ أوليٍّ يُفتح · وأصلٌ يدخل السجلَ بلا إهلاكٍ حتى التفعيل  [nav09_map]"
"ادارة التشغيل",3.309.20,"ثالثًا: اعتماد الوحدات","التايم شيت والقياس","تسجيل التايم شيت والإنتاج · Timesheet/timesheet.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","إدارة الموقع","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",3.309.21,"ثالثًا: اعتماد الوحدات","التايم شيت والقياس","الإنتاج والقياس · Operations/production.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","إدارة الموقع","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",3.310.22,"ثالثًا: اعتماد الوحدات","التوقفات وإسنادها","التوقفات وتحديد المتحمل · Operations/stops_unattributed.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","ادارة التشغيل","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",3.390.5,"ثالثًا: اعتماد الوحدات","— بقرار المالك","ما ينتظر اعتمادي · Approvals/hours_approval.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","ادارة التشغيل","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",3.390.900,"ثالثًا: اعتماد الوحدات","— بقرار المالك","صندوقُ موافقاتي — ما ينتظر يدي · Approvals/requests.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","ادارة الصيانة","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",3.390.950,"ثالثًا: اعتماد الوحدات","— بقرار المالك","تصنيف قواعد المنع · Settings/guard_classification.php","حالةُ المطابقةِ + فتحُ اعتمادِ الموردين  [LAD-01]","ادارة التشغيل","إيرادُ العميل وذمةُ المورد وأجرُ المشغّل تتولد بأحكامٍ ثلاثةٍ مستقلة · وخطةُ العقد تُحدَّث · والإهلاكُ يُحتسب · الإسنادُ نهائيٌّ · وحاوياتُ الموردين تُستهلك · وعدّادُ المعدة يُحدَّث · الحلقةُ الأولى تُفتح · وقفلُ التعديل · وعدّادُ المهلة يبدأ · الحلقةُ ال  [nav09_map]"
"ادارة التشغيل",4.412.23,"رابعًا: متابعة الانحراف","الأداء الشهري","الأداء الشهري للوحدة · Operations/unit_perf.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","ادارة التشغيل","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",4.413.24,"رابعًا: متابعة الانحراف","الانحراف والهامش","متابعة انحراف المنفَّذ عن المخطط · Finance/variance_monitor_fin.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","إدارة المالية","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",4.413.25,"رابعًا: متابعة الانحراف","الانحراف والهامش","هامش الربح للعقد والواقعة · Reports/margin_report.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","إدارة المالية","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",4.414.26,"رابعًا: متابعة الانحراف","الصيانة والأعطال","أوامر الصيانة · Maintenance/orders.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","ادارة الصيانة","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",4.414.27,"رابعًا: متابعة الانحراف","الصيانة والأعطال","تصنيف الأعطال وأسبابها · Equipments/manage_failure_codes.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","ادارة الصيانة","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",4.415.28,"رابعًا: متابعة الانحراف",البلاغات,"بلاغات إدارتي · Tickets/dept_inbox.php","unit_monthly_perf · work_orders · cost_alloc · work_orders · downtime  [nav09_map]","إدارة البلاغات","التعاقديةُ مقابل المنفَّذة · والعجزُ يفتح بندَ مطالبةٍ إن نصّ العقد · والجزاءُ يُحتسب · التكلفةُ تُحمَّل · وزمنُ التوقف يُثبَّت · والكرتُ يُحدَّث · والجاهزيةُ تُطلب · زمنُ التوقف يبدأ «تحت التحقق» · والمتحمّلُ مبدئيٌّ · والمعدةُ غيرُ متاحة  [nav09_map]"
"ادارة التشغيل",5.516.29,"خامسًا: إقفال الفترة",الإقفال,"الإقفال الشهري للوحدة · Operations/monthly_close.php","حصةُ الموردِ مستهلَكةٌ باللقطة  [LAD-01]","ادارة التشغيل","البندُ ينتقل إلى المستخلص · وعمرُ الاحتباس يتوقف · والإيرادُ المحتبَسُ ينقص · الطلبُ يدخل سلّمَ الاعتماد ببيان أثره — ولا يُعدَّل السقفُ قبل الاعتماد · الملفُّ يُصدَّر بنطاق المستخدم وحدَه · وكلُّ تصديرٍ يُسجَّل بالمستخدم والفلاتر · لا كتابةَ على وحدات ال  [nav09_map]"
"ادارة التشغيل",5.517.30,"خامسًا: إقفال الفترة","غير المفوتر","الأعمال غير المفوترة · Operations/unbilled.php","حصةُ الموردِ مستهلَكةٌ باللقطة  [LAD-01]","ادارة المبيعات","البندُ ينتقل إلى المستخلص · وعمرُ الاحتباس يتوقف · والإيرادُ المحتبَسُ ينقص · الطلبُ يدخل سلّمَ الاعتماد ببيان أثره — ولا يُعدَّل السقفُ قبل الاعتماد · الملفُّ يُصدَّر بنطاق المستخدم وحدَه · وكلُّ تصديرٍ يُسجَّل بالمستخدم والفلاتر · لا كتابةَ على وحدات ال  [nav09_map]"
"ادارة التشغيل",5.518.31,"خامسًا: إقفال الفترة","الميزانية والإنجاز","ميزانية إدارتي · Finance/budget_dept.php","حصةُ الموردِ مستهلَكةٌ باللقطة  [LAD-01]","إدارة المالية","البندُ ينتقل إلى المستخلص · وعمرُ الاحتباس يتوقف · والإيرادُ المحتبَسُ ينقص · الطلبُ يدخل سلّمَ الاعتماد ببيان أثره — ولا يُعدَّل السقفُ قبل الاعتماد · الملفُّ يُصدَّر بنطاق المستخدم وحدَه · وكلُّ تصديرٍ يُسجَّل بالمستخدم والفلاتر · لا كتابةَ على وحدات ال  [nav09_map]"
"ادارة التشغيل",5.518.32,"خامسًا: إقفال الفترة","الميزانية والإنجاز","إنجاز الإدارة · Portal/dept_achievement.php","حصةُ الموردِ مستهلَكةٌ باللقطة  [LAD-01]","إدارة الصلاحيات","البندُ ينتقل إلى المستخلص · وعمرُ الاحتباس يتوقف · والإيرادُ المحتبَسُ ينقص · الطلبُ يدخل سلّمَ الاعتماد ببيان أثره — ولا يُعدَّل السقفُ قبل الاعتماد · الملفُّ يُصدَّر بنطاق المستخدم وحدَه · وكلُّ تصديرٍ يُسجَّل بالمستخدم والفلاتر · لا كتابةَ على وحدات ال  [nav09_map]"
"ادارة التشغيل",5.518.33,"خامسًا: إقفال الفترة","الميزانية والإنجاز","مركز التقارير · emsreports/index.php","حصةُ الموردِ مستهلَكةٌ باللقطة  [LAD-01]","إدارة الصلاحيات","البندُ ينتقل إلى المستخلص · وعمرُ الاحتباس يتوقف · والإيرادُ المحتبَسُ ينقص · الطلبُ يدخل سلّمَ الاعتماد ببيان أثره — ولا يُعدَّل السقفُ قبل الاعتماد · الملفُّ يُصدَّر بنطاق المستخدم وحدَه · وكلُّ تصديرٍ يُسجَّل بالمستخدم والفلاتر · لا كتابةَ على وحدات ال  [nav09_map]"
"ادارة التشغيل",6.619.34,"سجلات التشغيل","المشاريع والمواقع","المشاريع والمواقع · Projects/projects.php","استحقاقُ المشغّلِ مفتوح  [LAD-01]","ادارة التشغيل","كيانٌ يُنشأ في السجل · وحسابُ ذمةٍ يُفتح · ولا تعاقدَ قبل اكتمال وثائقه · مركزُ تكلفةٍ يُفتح · والعقودُ تُربط به أبًا تعاقديًّا · والمواقعُ تُسجَّل نطاقًا داخله  [nav09_map]"
"ادارة التشغيل",6.619.35,"سجلات التشغيل","المشاريع والمواقع","سجل العملاء · Clients/clients.php","استحقاقُ المشغّلِ مفتوح  [LAD-01]","ادارة التشغيل","كيانٌ يُنشأ في السجل · وحسابُ ذمةٍ يُفتح · ولا تعاقدَ قبل اكتمال وثائقه · مركزُ تكلفةٍ يُفتح · والعقودُ تُربط به أبًا تعاقديًّا · والمواقعُ تُسجَّل نطاقًا داخله  [nav09_map]"
"ادارة التشغيل",6.620.36,"سجلات التشغيل","المخزون والوثائق","أرصدة المخزون بحالاتها · Procurement/stock_proc.php","استحقاقُ المشغّلِ مفتوح  [LAD-01]","إدارة المشتريات","كيانٌ يُنشأ في السجل · وحسابُ ذمةٍ يُفتح · ولا تعاقدَ قبل اكتمال وثائقه · مركزُ تكلفةٍ يُفتح · والعقودُ تُربط به أبًا تعاقديًّا · والمواقعُ تُسجَّل نطاقًا داخله  [nav09_map]"
"ادارة التشغيل",6.620.37,"سجلات التشغيل","المخزون والوثائق","وثائق المعدات والمشغّلين · Equipments/equipment_documents.php","استحقاقُ المشغّلِ مفتوح  [LAD-01]","ادارة الاسطول","كيانٌ يُنشأ في السجل · وحسابُ ذمةٍ يُفتح · ولا تعاقدَ قبل اكتمال وثائقه · مركزُ تكلفةٍ يُفتح · والعقودُ تُربط به أبًا تعاقديًّا · والمواقعُ تُسجَّل نطاقًا داخله  [nav09_map]"
"ادارة التشغيل",7.721.38,"طلبات التشغيل","الشراء والترحيل والدفع","طلبات الشراء · Procurement/requests_proc.php","الواقعةُ مؤهَّلةٌ للفوترة  [LAD-01]","إدارة المشتريات","إضافاتُ المالك  [cycle_order]"
"ادارة التشغيل",7.721.39,"طلبات التشغيل","الشراء والترحيل والدفع","طلبات الترحيل · Transport/transfer_requests.php#2","الواقعةُ مؤهَّلةٌ للفوترة  [LAD-01]","إدارة النقل والترحيل","إضافاتُ المالك  [cycle_order]"
"ادارة التشغيل",7.721.40,"طلبات التشغيل","الشراء والترحيل والدفع","طلبات الدفع والسداد · Finance/payments_fin.php","الواقعةُ مؤهَّلةٌ للفوترة  [LAD-01]","إدارة المالية","إضافاتُ المالك  [cycle_order]"
"ادارة التشغيل",97.97.1,"إضافاتُ المالك","إضافاتُ المالك","إسناد المعدات للوحدات · Operations/containers.php?view=v5d6808","— لا مصدر","ادارة التشغيل","فريق العمل  [cycle_order]"
"ادارة التشغيل",97.97.3,"إضافاتُ المالك","إضافاتُ المالك","تكليف المشغّل على المعدة · Operations/distribution_space.php?view=va9e1b1","— لا مصدر","إدارة الموقع","فريق العمل  [cycle_order]"
"ادارة التشغيل",98.9800.10,"فريق العمل","فريق العمل","إدارة المعاونين · main/project_users.php","— لا مصدر","ادارة الموردين","خارج الوثيقة — بانتظار قرار المالك  [cycle_order]"
