n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
19,emsreports/index.php,"مركز التقارير","مركز التقارير — الحوكمة",Index,"مركز التقارير","تعرض بطاقات التقارير المتاحة للمستخدم مبنيّةً من قائمة تقاريرَ مُعرَّفة، وتفرّع إلى كل تقريرٍ برابطه. الغرض جمع تقارير النظام في مركزٍ واحدٍ يُصفَّى بصلاحية المستخدم. تستخدمها الإد","الحوكمة والالتزام","1 — لوحة الإدارة","الظهور وضبط البوابة",950,"شاشةٌ مستقلة",14,"أمين المستودع · إدارة التمويل · إدارة الصلاحيات · إدارة المالية · إدارة المشتريات · إدارة الموقع · إدارة النقل والترحيل · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · القوى التشغيلية","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"مركز التقارير","إقفال الفترة · إقفال اليوم · تقارير الصيانة والإعدادات · تقارير القوى · تقارير الموارد · تقارير الموردين · تقارير وإعدادات الترحيل · تقاريرُ المبيعاتمخاطرُ المبيعاتِ وحوكمتُها · سجلات وإعدادات المخازن · سجلات وتقارير المشتريات · متابعة وتقارير الأسطول · متابعة وتقارير التمويل · متابعة وتقارير الحوكمة · متابعة وتقارير المالية","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
20,Settings/settings.php,الإعدادات,الإعدادات,Settings,—,"تعرض بطاقاتٍ تفرّع إلى إعدادات الحساب (الملف الشخصي وتغيير كلمة السر) وإلى إدارة النظام والصلاحيات (الصفحات والوحدات والأدوار وصلاحياتها)، ولا تحمل بياناتٍ بذاتها. الغرض جمع كل مدا","الحوكمة والالتزام","1 — لوحة الإدارة","الظهور وضبط البوابة",950,"شاشةٌ مستقلة",7,"إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · ادارة الاسطول · ادارة التشغيل · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,الإعدادات,"الإعدادات والتدقيق · العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
21,Oprators/select_project.php,"تخصيص المعدات للمشروعات","تخصيص المعدات للمشروعات","Select Project",—,"تعرض بطاقات المشاريع المتاحة ليختار المستخدم المشروع الذي سيدير تشغيله، ولا تحمل بياناتٍ بذاتها. الغرض حصر العمل في مشروعٍ واحدٍ قبل الدخول لشاشة التشغيل فلا تختلط المشاريع. تستخدم","الحوكمة والالتزام","1 — لوحة الإدارة","مركز العمل",50,"شاشةٌ مستقلة",1,"ادارة الاسطول","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"تخصيص المعدات للمشروعات","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
22,Timesheet/timesheet_type.php,"تسجيل الوحدات / تسجيل التايم شيت والإنتاج","تسجيل التايم شيت والإنتاج — الحوكمة","Timesheet Type","تسجيل الوحدات / تسجيل التايم شيت والإنتاج · تسجيل التايم شيت والإنتاج","شاشةُ اختيارٍ تعرض ثلاث بطاقاتٍ لتصنيف الآلية (معدات ثقيلة · شاحنات · خرامات) ولا تحمل بياناتٍ بذاتها. الغرض توجيه المستخدم إلى شاشة إدخال ساعات العمل الموافقة للتصنيف قبل بدء الإد","الحوكمة والالتزام","1 — لوحة الإدارة","مركز العمل",50,"شاشةٌ مستقلة",3,"إدارة الموقع · إدارة الموقع (قديم — مدمج في 6) · ادارة التشغيل","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة","مرحلةٌ متتاليةٌ مع Timesheet/timesheet.php — لا ازدواج",—,ACTIVE,—,"تسجيل الوحدات / تسجيل التايم شيت والإنتاج","العمل اليومي","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
23,Approvals/requests.php,"صندوقُ موافقاتي — ما ينتظر يدي","صندوقُ موافقاتي — ما ينتظر يدي",Requests,"نتابع تنفيذَهما استهلكه من حصتِه وما نفّذه فعلًا","تعرض طلبات الموافقة المعلَّقة على تغييراتٍ حسّاسة: الكيان المعني والإجراء المطلوب وطالبه ومرحلته الحالية وحالته وتاريخ إنشائه. الغرض ألّا يُنفَّذ تغييرٌ حسّاسٌ إلا بعد مرور طلبه عل","الحوكمة والالتزام","2 — العمليات","اعتماد الوحدات",900,"شاشةٌ مستقلة",4,"ادارة الاسطول · ادارة التشغيل · ادارة الموارد البشرية · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"صندوقُ موافقاتي — ما ينتظر يدي","اعتماد الوحدات · متابعة الموارد · متابعة وتقارير الأسطول · نتابع تنفيذَهما استهلكه من حصتِه وما نفّذه فعلًا","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
24,Approvals/hours_approval.php,"ما ينتظر اعتمادي / اعتمادُ ساعاتِ الوحدات (بوابةُ المبيعات)","ما ينتظر اعتمادي","Hours Approval","إضافاتُ المالك · ما ينتظر اعتمادي / اعتمادُ ساعاتِ الوحدات (بوابةُ المبيعات) · نتابع تنفيذَهما استهلكه من حصتِه وما نفّذه فعلًا","تعرض سجلات ساعات العمل المنتظرة للاعتماد بتاريخها ووردياتها ومشروعها ومورّدها وآليتها ومشغّلها وساعاتها المنفَّذة وساعات الانتظار والأعطال مصنَّفةً، وتتيح اعتمادها أو رفضها بملاحظة","الحوكمة والالتزام","2 — العمليات","الهيكل والأدوار",250,"شاشةٌ مستقلة",5,"ادارة الاسطول · ادارة التشغيل · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة","مرتبطةٌ لا مزدوجةٌ مع Finance/approvals_inbox.php",—,ACTIVE,—,"ما ينتظر اعتمادي / اعتمادُ ساعاتِ الوحدات (بوابةُ المبيعات)","إضافاتُ المالك · اعتماد الوحدات · متابعة الموارد · متابعة وتقارير الأسطول · نتابع تنفيذَهما استهلكه من حصتِه وما نفّذه فعلًا","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
25,Governance/guards.php,"تصنيف قواعد المنع","تصنيف قواعد المنع — الحوكمة — الالتزام والامتثال",Guards,"تصنيف قواعد المنع · تصنيف قواعد المنع — الحوكمة","تصنّف قواعد المنع في النظام: أيّها حاجزٌ وأيّها تحذير. الغرض ضبط شدّة كل حارسٍ من الشاشة لا من الكود. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","الالتزام والامتثال",600,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","مرتبطةٌ لا مزدوجةٌ مع Settings/guard_classification.php",—,ACTIVE,—,"تصنيف قواعد المنع","المنع والاستثناء","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
26,Governance/sensitive_fields.php,"سياسات الحقول الحساسة","سياسات الحقول الحساسة","Sensitive Fields",—,"تضبط سياسات الحقول الحساسة: أيّها يُخفى وأيّها يحتاج سببًا لتغييره. الغرض حماية البيانات الحساسة بسياسةٍ معلنةٍ لا باجتهاد. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","الالتزام والامتثال",610,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"سياسات الحقول الحساسة","المنع والاستثناء","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
27,Governance/exceptions.php,"طلبات الاستثناء","طلبات الاستثناء",Exceptions,—,"تدير طلبات الاستثناء من القواعد بمبرّراتها ومدّتها. الغرض ألّا يُخرَق حارسٌ إلا باستثناءٍ موثَّقٍ محدود المدة. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","الالتزام والامتثال",620,فعل,1,"إدارة الصلاحيات","يُحوَّل فعلًا في مكوّنِ الانتقال + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"طلبات الاستثناء","المنع والاستثناء","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
28,Governance/break_glass.php,"صلاحية الطوارئ اللحظية (كسر الزجاج)","صلاحية الطوارئ اللحظية (كسر الزجاج)","Break Glass",—,"تمنح صلاحية طوارئ لحظية («كسر الزجاج») بسببٍ إلزاميٍّ ومدةٍ قصيرة. الغرض تمكين التصرف في الطوارئ مع أثرٍ تدقيقيٍّ كامل. تستخدمها إدارة الصلاحيات.","الحوكمة والالتزام","2 — العمليات","الالتزام والامتثال",630,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"صلاحية الطوارئ اللحظية (كسر الزجاج)","المنع والاستثناء","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
