id	doc	requirement	acceptance_test	state	witness
FIXA-0027-أ	FIXA	خطوةُ تصحيحِ «RF-03» رقم 1 — نطاقُ الحكم	اختبارُ خطوة: «حمّلْ permissions_helper في رأسِ excel.php قبلَ أيِّ نداءٍ ل» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0027-ب	FIXA	حمّلْ permissions_helper في رأسِ excel.php قبلَ أيِّ نداءٍ للتصريح	اختبارُ خطوة: «حمّلْ permissions_helper في رأسِ excel.php قبلَ أيِّ نداءٍ ل» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0028-أ	FIXA	خطوةُ تصحيحِ «RF-03» رقم 2 — نطاقُ الحكم	اختبارُ خطوة: «◆ اجعلْ authorize يفشل مغلقًا: غيابُ الحارسِ يعني منعًا لا س» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0028-ب	FIXA	◆ اجعلْ authorize يفشل مغلقًا: غيابُ الحارسِ يعني منعًا لا سماحًا	اختبارُ خطوة: «◆ اجعلْ authorize يفشل مغلقًا: غيابُ الحارسِ يعني منعًا لا س» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0029-أ	FIXA	خطوةُ تصحيحِ «RF-03» رقم 3 — نطاقُ الحكم	اختبارُ خطوة: «مرّرْ أعمدةَ التصديرِ عبرَ FieldGovernor فلا يُرسَل حساسٌ لغ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0029-ب	FIXA	مرّرْ أعمدةَ التصديرِ عبرَ FieldGovernor فلا يُرسَل حساسٌ لغيرِ المخوَّل	اختبارُ خطوة: «مرّرْ أعمدةَ التصديرِ عبرَ FieldGovernor فلا يُرسَل حساسٌ لغ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0030-أ	FIXA	خطوةُ تصحيحِ «RF-03» رقم 4 — نطاقُ الحكم	اختبارُ خطوة: «صنّفْ فعلَ التصديرِ كتابةَ حوكمةٍ ويكتب سجلًّا بتسعةِ بنودٍ » منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0030-ب	FIXA	صنّفْ فعلَ التصديرِ كتابةَ حوكمةٍ ويكتب سجلًّا بتسعةِ بنودٍ ومنها الحقولُ المستبعَدة	اختبارُ خطوة: «صنّفْ فعلَ التصديرِ كتابةَ حوكمةٍ ويكتب سجلًّا بتسعةِ بنودٍ » منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0031-أ	FIXA	خطوةُ تصحيحِ «RF-03» رقم 5 — نطاقُ الحكم	اختبارُ خطوة: «أضفْ اختبارًا يصدّر بحسابين ويقارن أعمدةَ الملفين» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0031-ب	FIXA	أضفْ اختبارًا يصدّر بحسابين ويقارن أعمدةَ الملفين	اختبارُ خطوة: «أضفْ اختبارًا يصدّر بحسابين ويقارن أعمدةَ الملفين» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0032-أ	FIXA	◆ عطلُ البوابة «GT-01	اختبارُ إغلاق: لكلِّ فحصٍ في الأدواتِ اختبارٌ سلبيٌّ مقابلٌ يثبت أنه يرسب عند الإفساد	غيرُ مقيس	
FIXA-0032-ب	FIXA	◆ شرطٌ خاوٍ يمرُّ أخضر» في tools/u13_gate.php:1172 · tools/m10_ac_gate.php:190: الثانيةُ تتحقق من وجودِ السلسلةِ table داخلَ ملفِّ PHP	اختبارُ إغلاق: لكلِّ فحصٍ في الأدواتِ اختبارٌ سلبيٌّ مقابلٌ يثبت أنه يرسب عند الإفساد	غيرُ مقيس	
FIXA-0032-ج	FIXA	فأيُّ تقريرِ جاهزيةٍ مبنيٍّ عليهما ليس دليلًا · وخطورتُه P0.	اختبارُ إغلاق: لكلِّ فحصٍ في الأدواتِ اختبارٌ سلبيٌّ مقابلٌ يثبت أنه يرسب عند الإفساد	غيرُ مقيس	
FIXA-0033-أ	FIXA	خطوةُ تصحيحِ «GT-01» رقم 1 — نطاقُ الحكم	اختبارُ خطوة: «◆ كلُّ فحصٍ يعلن ما يقيسه نصًّا وما لا يقيسه صريحًا» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0033-ب	FIXA	◆ كلُّ فحصٍ يعلن ما يقيسه نصًّا وما لا يقيسه صريحًا	اختبارُ خطوة: «◆ كلُّ فحصٍ يعلن ما يقيسه نصًّا وما لا يقيسه صريحًا» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0034-أ	FIXA	خطوةُ تصحيحِ «GT-01» رقم 2 — نطاقُ الحكم	اختبارُ خطوة: «◆ صفرُ فحصٍ نتيجتُه من وجودِ سلسلةٍ نصيةٍ في ملف — والإثباتُ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0034-ب	FIXA	◆ صفرُ فحصٍ نتيجتُه من وجودِ سلسلةٍ نصيةٍ في ملف	اختبارُ خطوة: «◆ صفرُ فحصٍ نتيجتُه من وجودِ سلسلةٍ نصيةٍ في ملف — والإثباتُ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0034-ج	FIXA	والإثباتُ بانعكاسٍ أو استعلامٍ أو نداءٍ حيّ	اختبارُ خطوة: «◆ صفرُ فحصٍ نتيجتُه من وجودِ سلسلةٍ نصيةٍ في ملف — والإثباتُ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0035-أ	FIXA	خطوةُ تصحيحِ «GT-01» رقم 3 — نطاقُ الحكم	اختبارُ خطوة: «كلُّ فحصٍ يرسب افتراضًا ويمرُّ بشاهدٍ — لا العكس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0035-ب	FIXA	كلُّ فحصٍ يرسب افتراضًا ويمرُّ بشاهدٍ — لا العكس	اختبارُ خطوة: «كلُّ فحصٍ يرسب افتراضًا ويمرُّ بشاهدٍ — لا العكس» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0036-أ	FIXA	خطوةُ تصحيحِ «GT-01» رقم 4 — نطاقُ الحكم	اختبارُ خطوة: «أضفْ اختبارًا سلبيًّا لكلِّ فحص: افسدِ المفحوصَ عمدًا وأثبتْ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0036-ب	FIXA	أضفْ اختبارًا سلبيًّا لكلِّ فحص: افسدِ المفحوصَ عمدًا وأثبتْ أن الفحصَ يرسب	اختبارُ خطوة: «أضفْ اختبارًا سلبيًّا لكلِّ فحص: افسدِ المفحوصَ عمدًا وأثبتْ» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0037-أ	FIXA	خطوةُ تصحيحِ «GT-01» رقم 5 — نطاقُ الحكم	اختبارُ خطوة: «◆ أيُّ فحصٍ لا يرسب عند إفسادِ مفحوصِه يُحذف — فهو يصادق على» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0037-ب	FIXA	◆ أيُّ فحصٍ لا يرسب عند إفسادِ مفحوصِه يُحذف	اختبارُ خطوة: «◆ أيُّ فحصٍ لا يرسب عند إفسادِ مفحوصِه يُحذف — فهو يصادق على» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0037-ج	FIXA	فهو يصادق على نفسه	اختبارُ خطوة: «◆ أيُّ فحصٍ لا يرسب عند إفسادِ مفحوصِه يُحذف — فهو يصادق على» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0038-أ	FIXA	◆ عطلُ البوابة «GT-02	اختبارُ إغلاق: تقريرُ الفاحصِ يحمل الستةَ — ومقامٌ معلَنٌ لكلِّ نسبة	غيرُ مقيس	
FIXA-0038-ب	FIXA	معاييرُ الفاحصِ العكسيِّ الستة» في منهجٌ عامّ: الفاحصُ يبدأ من الوثيقةِ ويعدُّ كلَّ بندٍ ثم يبحث عن أثرِه الحيّ	اختبارُ إغلاق: تقريرُ الفاحصِ يحمل الستةَ — ومقامٌ معلَنٌ لكلِّ نسبة	غيرُ مقيس	
FIXA-0038-ج	FIXA	لا من الكودِ فيؤكّد نفسَه · وخطورتُه P1.	اختبارُ إغلاق: تقريرُ الفاحصِ يحمل الستةَ — ومقامٌ معلَنٌ لكلِّ نسبة	غيرُ مقيس	
FIXA-0039	FIXA	خطوةُ تصحيحِ «GT-02» رقم 1: يبدأ من الوثيقةِ لا من الكود	اختبارُ خطوة: «يبدأ من الوثيقةِ لا من الكود» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0040-أ	FIXA	خطوةُ تصحيحِ «GT-02» رقم 2 — نطاقُ الحكم	اختبارُ خطوة: «يعدُّ البنودَ المعلَنةَ كلَّها لا ما بُني منها» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0040-ب	FIXA	يعدُّ البنودَ المعلَنةَ كلَّها لا ما بُني منها	اختبارُ خطوة: «يعدُّ البنودَ المعلَنةَ كلَّها لا ما بُني منها» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0041-أ	FIXA	خطوةُ تصحيحِ «GT-02» رقم 3 — نطاقُ الحكم	اختبارُ خطوة: «يبحث عن الأثرِ الحيِّ بنداءٍ أو استعلامٍ لا بمطابقةِ نص» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0041-ب	FIXA	يبحث عن الأثرِ الحيِّ بنداءٍ أو استعلامٍ لا بمطابقةِ نص	اختبارُ خطوة: «يبحث عن الأثرِ الحيِّ بنداءٍ أو استعلامٍ لا بمطابقةِ نص» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0042-أ	FIXA	خطوةُ تصحيحِ «GT-02» رقم 4 — نطاقُ الحكم	اختبارُ خطوة: «◆ يقيس بأداتين مستقلتين ويرسب عند اختلافهما» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0042-ب	FIXA	◆ يقيس بأداتين مستقلتين ويرسب عند اختلافهما	اختبارُ خطوة: «◆ يقيس بأداتين مستقلتين ويرسب عند اختلافهما» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0043	FIXA	خطوةُ تصحيحِ «GT-02» رقم 5: يعلن مقامَه ومصدرَه وتاريخَ قياسه	اختبارُ خطوة: «يعلن مقامَه ومصدرَه وتاريخَ قياسه» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0044-أ	FIXA	خطوةُ تصحيحِ «GT-02» رقم 6 — نطاقُ الحكم	اختبارُ خطوة: «◆ ويعلن ما لم يفحصه صريحًا — فالصمتُ يُقرأ مطابقة» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0044-ب	FIXA	◆ ويعلن ما لم يفحصه صريحًا	اختبارُ خطوة: «◆ ويعلن ما لم يفحصه صريحًا — فالصمتُ يُقرأ مطابقة» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0044-ج	FIXA	فالصمتُ يُقرأ مطابقة	اختبارُ خطوة: «◆ ويعلن ما لم يفحصه صريحًا — فالصمتُ يُقرأ مطابقة» منفَّذةٌ ومقيسة	غيرُ مقيس	
FIXA-0002-أ	FIXA	معيارُ التكويد «CS-01 — ترتيبُ الملفِّ الإلزاميُّ الثابت» — نطاقُ الحكم	اختبارُ معيار: فاحصٌ آليٌّ يثبت أن أولَ استدعاءِ كتابةٍ في كلِّ ملفٍّ يقع بعدَ سطرِ الحارس	غيرُ مقيس	
FIXA-0002-ب	FIXA	كلُّ سطحٍ يُكتب بالترتيب: جلسةٌ ← إعدادٌ ← حارسُ شاشةٍ ← حارسُ فعلٍ ← معالجاتُ POST ← استعلاماتُ العرضِ ← ترويسةٌ ← سايدبارٌ ← جسم · والنمطُ الصحيح: session_bootstrap → config → permissions_helper(can_view) → action_guard → POST handlers → SELECTs → inheader → insidebar → HTML	اختبارُ معيار: فاحصٌ آليٌّ يثبت أن أولَ استدعاءِ كتابةٍ في كلِّ ملفٍّ يقع بعدَ سطرِ الحارس	غيرُ مقيس	
FIXA-0002-ج	FIXA	◆ ولا كتابةَ قبلَ الحارسِ ولا حارسَ بعدَ الكتابة	اختبارُ معيار: فاحصٌ آليٌّ يثبت أن أولَ استدعاءِ كتابةٍ في كلِّ ملفٍّ يقع بعدَ سطرِ الحارس	غيرُ مقيس	
FIXA-0003-أ	FIXA	معيارُ التكويد «CS-02	اختبارُ معيار: استعلامٌ يعدُّ فروعَ الإرجاعِ الافتراضيِّ في كلِّ حارسٍ — والنتيجةُ صفرُ فرعٍ سامح	غيرُ مقيس	
FIXA-0003-ب	FIXA	الفشلُ مغلقٌ لا مفتوحٌ في كلِّ حارس»: أيُّ فرعٍ لا يجد سجلَّ صلاحيةٍ يرجع منعًا لا سماحًا	اختبارُ معيار: استعلامٌ يعدُّ فروعَ الإرجاعِ الافتراضيِّ في كلِّ حارسٍ — والنتيجةُ صفرُ فرعٍ سامح	غيرُ مقيس	
FIXA-0003-ج	FIXA	والافتراضُ الأمنيُّ منعٌ دائمًا · والنمطُ الصحيح: if (!$row) { return [&apos;can_view&apos;=>0,&apos;can_add&apos;=>0,&apos;can_edit&apos;=>0,&apos;can_delete&apos;=>0,&apos;can_export&apos;=>0]; }	اختبارُ معيار: استعلامٌ يعدُّ فروعَ الإرجاعِ الافتراضيِّ في كلِّ حارسٍ — والنتيجةُ صفرُ فرعٍ سامح	غيرُ مقيس	
FIXA-0003-د	FIXA	◆ وصفرُ فرعٍ يرجع true عند غيابِ الصف	اختبارُ معيار: استعلامٌ يعدُّ فروعَ الإرجاعِ الافتراضيِّ في كلِّ حارسٍ — والنتيجةُ صفرُ فرعٍ سامح	غيرُ مقيس	
FIXA-0004-أ	FIXA	معيارُ التكويد «CS-03 — معالجُ POST بعقدٍ سبعيٍّ ثابت» — نطاقُ الحكم	اختبارُ معيار: اختبارُ سبعةٍ: كلُّ معالجٍ يُرفض عند إخفاقِ كلِّ بندٍ من السبعةِ منفردًا	غيرُ مقيس	
FIXA-0004-ب	FIXA	كلُّ معالجٍ يتحقق: طريقةً ← رمزَ حمايةٍ ← فعلًا مسجَّلًا ← صلاحيةً ← مفتاحَ منعِ تكرارٍ ← مدخلاتٍ ← ثم يفتح المعاملة · والنمطُ الصحيح: if($_SERVER[&apos;REQUEST_METHOD&apos;]!==&apos;POST&apos;) exit; require_csrf(); action_guard(&apos;code&apos;); assert_perm(&apos;can_add&apos;); if(ProcessedOperations::seen($key)) return prior(); $v=validate($_POST); $db->begin_transaction();	اختبارُ معيار: اختبارُ سبعةٍ: كلُّ معالجٍ يُرفض عند إخفاقِ كلِّ بندٍ من السبعةِ منفردًا	غيرُ مقيس	
FIXA-0004-ج	FIXA	◆ والخروجُ عند أيِّ فشلٍ قبلَ أيِّ كتابة	اختبارُ معيار: اختبارُ سبعةٍ: كلُّ معالجٍ يُرفض عند إخفاقِ كلِّ بندٍ من السبعةِ منفردًا	غيرُ مقيس	
FIXA-0005-أ	FIXA	معيارُ التكويد «CS-04	اختبارُ معيار: اختبارُ ارتداد: فشلٌ مصطنعٌ في آخرِ كتابةٍ يترك صفرَ صفٍّ في الجداولِ كلِّها	غيرُ مقيس	
FIXA-0005-ب	FIXA	حدودُ المعاملةِ صريحةٌ ولا كتابةَ خارجَها»: كلُّ كتابةٍ متعددةِ الجداولِ داخلَ معاملةٍ واحدةٍ	اختبارُ معيار: اختبارُ ارتداد: فشلٌ مصطنعٌ في آخرِ كتابةٍ يترك صفرَ صفٍّ في الجداولِ كلِّها	مُغلقٌ بشاهد	tests/cap_w5_outbox_test.php · tests/event_publisher_test.php · tests/n06_transaction_bounds_test.php
FIXA-0005-ج	FIXA	والنشرُ داخلَها والارتدادُ يُلغي الكلّ · والنمطُ الصحيح: $db->begin_transaction(); try{ $svc->write(); EventPublisher::publishFact(...); $db->commit(); } catch(Throwable $e){ $db->rollback(); throw $e; }	اختبارُ معيار: اختبارُ ارتداد: فشلٌ مصطنعٌ في آخرِ كتابةٍ يترك صفرَ صفٍّ في الجداولِ كلِّها	مُغلقٌ بشاهد	tests/event_publisher_test.php · tests/n06_transaction_bounds_test.php
FIXA-0005-د	FIXA	◆ ولا تخصيصَ رقمٍ فريدٍ داخلَ المعاملةِ	اختبارُ معيار: اختبارُ ارتداد: فشلٌ مصطنعٌ في آخرِ كتابةٍ يترك صفرَ صفٍّ في الجداولِ كلِّها	غيرُ مقيس	
FIXA-0006-أ	FIXA	معيارُ التكويد «CS-05	اختبارُ معيار: مسحٌ آليّ: صفرُ عبارةِ كتابةٍ حرفيةٍ في مجلداتِ الأسطح	غيرُ مقيس	
FIXA-0006-ب	FIXA	الشاشةُ لا تكتب جدولًا	اختبارُ معيار: مسحٌ آليّ: صفرُ عبارةِ كتابةٍ حرفيةٍ في مجلداتِ الأسطح	غيرُ مقيس	
FIXA-0006-ج	FIXA	تنادي خدمةَ نطاقها»: صفرُ INSERT أو UPDATE أو DELETE في ملفِّ سطحٍ	اختبارُ معيار: مسحٌ آليّ: صفرُ عبارةِ كتابةٍ حرفيةٍ في مجلداتِ الأسطح	غيرُ مقيس	
FIXA-0006-د	FIXA	والحكمُ في الخدمةِ المالكة · والنمطُ الصحيح: $svc = new ContractService($db); $svc->approve($id, $actor); // لا $db->query(&apos;UPDATE contracts ...&apos;)	اختبارُ معيار: مسحٌ آليّ: صفرُ عبارةِ كتابةٍ حرفيةٍ في مجلداتِ الأسطح	غيرُ مقيس	
FIXA-0007-أ	FIXA	معيارُ التكويد «CS-06	اختبارُ معيار: اختبارُ حجب: نداءٌ برمزٍ غيرِ مسجَّلٍ يُرفض 403 ويُسجَّل	غيرُ مقيس	
FIXA-0007-ب	FIXA	كلُّ فعلٍ برمزٍ مسجَّلٍ وصنفِ كتابةٍ معلَن»: لا نداءَ POST بلا رمزِ فعلٍ في القاموسِ	اختبارُ معيار: اختبارُ حجب: نداءٌ برمزٍ غيرِ مسجَّلٍ يُرفض 403 ويُسجَّل	غيرُ مقيس	
FIXA-0007-ج	FIXA	وغيرُ المسجَّلِ يُحجب · والنمطُ الصحيح: action_guard(&apos;fin.payment.execute&apos;); // الرمزُ في nav09_action_map بصنفِ كتابةٍ معلَن	اختبارُ معيار: اختبارُ حجب: نداءٌ برمزٍ غيرِ مسجَّلٍ يُرفض 403 ويُسجَّل	غيرُ مقيس	
FIXA-0007-د	FIXA	◆ وصفرُ رمزٍ يحمل معنيين	اختبارُ معيار: اختبارُ حجب: نداءٌ برمزٍ غيرِ مسجَّلٍ يُرفض 403 ويُسجَّل	غيرُ مقيس	
