id	severity	blocks_launch	state	witness
INJ-0150	P2	نعم	مُغلقٌ بشاهد	
INJ-0151	P2	نعم	مُغلق	tests/source_of_truth_test.php
INJ-0152	P2	نعم	مُغلقٌ بشاهد	
INJ-0153	P2	نعم	غيرُ مقيس	
INJ-0154	P2	لا	مُغلقٌ بشاهد	
INJ-0155	P2	نعم	غيرُ مقيس	
INJ-0156	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0157	P2	لا	غيرُ مقيس	
INJ-0158	P2	لا	مُغلقٌ بشاهد	tests/supplier_kpi_cards_test.php
INJ-0159	P2	نعم	مُغلقٌ بشاهد	
INJ-0160	P2	نعم	مُغلقٌ بشاهد	
INJ-0161	P2	نعم	مُغلقٌ بشاهد	
INJ-0162	P2	نعم	مُغلقٌ بشاهد	tests/supplier_audit_trail_test.php
INJ-0163	P2	نعم	غيرُ مقيس	
INJ-0164	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0165	P2	لا	غيرُ مقيس	
INJ-0166	P2	لا	غيرُ مقيس	
INJ-0167	P2	لا	مُغلق	tests/deploy_seed_and_escalation_test.php
INJ-0168	P2	نعم	مُغلقٌ بشاهد	
INJ-0169	P2	لا	غيرُ مقيس	
INJ-0170	P2	نعم	غيرُ مقيس	
INJ-0171	P2	لا	مُغلقٌ بشاهد	tools/build_dept_space_wrappers.php · tools/fix_od19_probe.php
INJ-0172	P2	نعم	مُغلقٌ بشاهد	
INJ-0173	P2	نعم	مُغلقٌ بشاهد	
INJ-0174	P2	لا	غيرُ مقيس	
INJ-0175	P2	نعم	مُغلقٌ بشاهد	tests/dues_source_doc_test.php
INJ-0176	P2	نعم	مُغلقٌ بشاهد	
INJ-0177	P2	نعم	غيرُ مقيس	
INJ-0178	P2	نعم	غيرُ مقيس	
INJ-0179	P2	نعم	مُغلقٌ بشاهد	
INJ-0180	P2	نعم	مُغلقٌ بشاهد	
INJ-0181	P2	نعم	غيرُ مقيس	
INJ-0182	P2	نعم	غيرُ مقيس	
INJ-0183	P2	لا	مُغلقٌ بشاهد	
INJ-0184	P2	لا	مُغلقٌ بشاهد	
INJ-0185	P2	لا	مُغلقٌ بشاهد	
INJ-0186	P2	لا	غيرُ مقيس	
INJ-0187	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0188	P2	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0189	P2	لا	غيرُ مقيس	
INJ-0190	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0191	P2	نعم	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0192	P2	نعم	مُغلقٌ بشاهد	tests/dues_source_doc_test.php
INJ-0193	P2	نعم	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0194	P2	نعم	مُغلقٌ بشاهد	
INJ-0195	P2	نعم	غيرُ مقيس	
INJ-0196	P2	نعم	مُغلقٌ بشاهد	
INJ-0197	P2	نعم	مُغلقٌ بشاهد	
INJ-0198	P2	لا	غيرُ مقيس	
INJ-0199	P2	نعم	مُغلقٌ بشاهد	
INJ-0200	P2	لا	غيرُ مقيس	
INJ-0201	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0202	P2	نعم	مُغلقٌ بشاهد	
INJ-0203	P2	نعم	مُغلق	tests/workspace_counters_tenant_test.php
INJ-0204	P2	نعم	غيرُ مقيس	
INJ-0205	P2	لا	غيرُ مقيس	
INJ-0206	P2	لا	مُغلقٌ بشاهد	
INJ-0207	P2	لا	غيرُ مقيس	
INJ-0208	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0209	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0210	P2	نعم	غيرُ مقيس	
INJ-0211	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0212	P2	لا	غيرُ مقيس	
INJ-0213	P2	نعم	مُغلقٌ بشاهد	
INJ-0214	P2	نعم	غيرُ مقيس	
INJ-0215	P2	نعم	غيرُ مقيس	
INJ-0216	P2	نعم	غيرُ مقيس	
INJ-0217	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0218	P2	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0219	P2	نعم	مُغلقٌ بشاهد	tools/fix_inj0219_tests.php
INJ-0220	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0221	P2	لا	غيرُ مقيس	
INJ-0222	P2	لا	مُغلقٌ بشاهد	
INJ-0223	P2	نعم	غيرُ مقيس	
INJ-0224	P2	نعم	غيرُ مقيس	
INJ-0225	P2	لا	مُغلقٌ بشاهد	
INJ-0226	P2	لا	مُغلقٌ بشاهد	
INJ-0227	P2	نعم	غيرُ مقيس	
INJ-0228	P2	نعم	غيرُ مقيس	
INJ-0229	P2	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0230	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0231	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0232	P2	لا	غيرُ مقيس	
INJ-0233	P2	نعم	غيرُ مقيس	
INJ-0234	P2	لا	غيرُ مقيس	
INJ-0235	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0236	P2	لا	مُغلقٌ بشاهد	tests/shell_entries_test.php
INJ-0237	P2	لا	مُغلقٌ بشاهد	tests/inline_styles_test.php
INJ-0238	P2	لا	مُغلقٌ بشاهد	tests/empty_state_adoption_test.php
INJ-0239	P2	نعم	مُغلقٌ بشاهد	tests/guard_adoption_ratchet_test.php
INJ-0240	P2	نعم	غيرُ مقيس	
INJ-0241	P2	نعم	مُغلقٌ بشاهد	tools/fix_m10_gate_tests.php
INJ-0242	P2	نعم	مُغلقٌ بشاهد	tools/fix_m10_gate_tests.php
INJ-0243	P2	نعم	غيرُ مقيس	
INJ-0244	P2	نعم	غيرُ مقيس	
INJ-0245	P2	نعم	مُغلقٌ بشاهد	
INJ-0246	P2	نعم	مُغلقٌ بشاهد	
INJ-0247	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0248	P2	نعم	غيرُ مقيس	
INJ-0249	P2	نعم	غيرُ مقيس	
INJ-0250	P2	نعم	مُغلقٌ بشاهد	
INJ-0251	P2	نعم	مُغلقٌ بشاهد	
INJ-0252	P2	لا	مُغلق	tests/idempotency_and_race_test.php
INJ-0253	P2	لا	مُغلقٌ بشاهد	
INJ-0254	P2	لا	مُغلقٌ بشاهد	
INJ-0255	P2	لا	مُغلقٌ بشاهد	
INJ-0256	P2	لا	مُغلقٌ بشاهد	
INJ-0257	P2	نعم	غيرُ مقيس	
INJ-0258	P2	نعم	غيرُ مقيس	
INJ-0259	P2	نعم	مُغلقٌ بشاهد	
INJ-0260	P2	نعم	غيرُ مقيس	
INJ-0261	P2	نعم	مُغلقٌ بشاهد	
INJ-0262	P2	نعم	غيرُ مقيس	
INJ-0263	P2	نعم	غيرُ مقيس	
INJ-0264	P2	نعم	مُغلقٌ بشاهد	
INJ-0265	P2	نعم	غيرُ مقيس	
INJ-0266	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0267	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0268	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0269	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0270	P2	نعم	غيرُ مقيس	
INJ-0271	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0272	P2	نعم	غيرُ مقيس	
INJ-0273	P2	نعم	مُغلقٌ بشاهد	
INJ-0274	P2	نعم	مُغلقٌ بشاهد	
INJ-0275	P2	لا	غيرُ مقيس	
INJ-0276	P2	نعم	غيرُ مقيس	
INJ-0277	P2	لا	مُغلقٌ بشاهد	
INJ-0278	P2	نعم	غيرُ مقيس	
INJ-0279	P2	نعم	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0280	P2	نعم	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0281	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0282	P2	لا	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0283	P2	نعم	غيرُ مقيس	
INJ-0284	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0285	P2	لا	غيرُ مقيس	
INJ-0286	P2	لا	غيرُ مقيس	
INJ-0287	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0288	P2	نعم	غيرُ مقيس	
INJ-0289	P2	نعم	مُغلقٌ بشاهد	
INJ-0290	P2	لا	مُغلقٌ بشاهد	
INJ-0291	P2	نعم	غيرُ مقيس	
INJ-0292	P2	نعم	مُغلقٌ بشاهد	
INJ-0293	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0294	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0295	P2	نعم	غيرُ مقيس	
INJ-0296	P2	نعم	مُغلقٌ بشاهد	
INJ-0297	P2	نعم	مُغلقٌ بشاهد	
INJ-0298	P2	نعم	مُغلقٌ بشاهد	
INJ-0299	P2	لا	مُغلقٌ بشاهد	
INJ-0300	P2	لا	مُغلقٌ بشاهد	
INJ-0301	P2	لا	مُغلقٌ بشاهد	
INJ-0302	P2	نعم	غيرُ مقيس	
INJ-0303	P2	لا	غيرُ مقيس	
INJ-0304	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0305	P2	لا	غيرُ مقيس	
INJ-0306	P2	نعم	مُغلق	tests/transfer_cost_and_shares_test.php
INJ-0307	P2	لا	غيرُ مقيس	
INJ-0308	P2	لا	غيرُ مقيس	
INJ-0309	P2	لا	غيرُ مقيس	
INJ-0310	P2	نعم	مُغلقٌ بشاهد	
INJ-0311	P2	لا	غيرُ مقيس	
INJ-0312	P2	نعم	غيرُ مقيس	
INJ-0313	P2	نعم	مُغلقٌ بشاهد	
INJ-0314	P2	لا	غيرُ مقيس	
INJ-0315	P2	لا	غيرُ مقيس	
INJ-0316	P2	لا	غيرُ مقيس	
INJ-0317	P2	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0318	P2	لا	غيرُ مقيس	
INJ-0319	P2	نعم	غيرُ مقيس	
INJ-0320	P2	نعم	مُغلقٌ بشاهد	
INJ-0321	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0322	P2	نعم	غيرُ مقيس	
INJ-0323	P2	نعم	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0324	P2	نعم	غيرُ مقيس	
INJ-0325	P2	لا	مُغلقٌ بشاهد	
INJ-0326	P2	نعم	غيرُ مقيس	
INJ-0327	P2	نعم	مُغلقٌ بشاهد	
INJ-0328	P2	نعم	مُغلقٌ بشاهد	
INJ-0329	P2	لا	غيرُ مقيس	
INJ-0330	P2	نعم	غيرُ مقيس	
INJ-0331	P2	نعم	مُغطًّى	
INJ-0332	P2	نعم	غيرُ مقيس	
INJ-0333	P2	لا	غيرُ مقيس	
INJ-0334	P2	لا	مُغلق	tests/enum_in_guard_test.php
INJ-0335	P2	نعم	مُغلقٌ بشاهد	
INJ-0336	P2	نعم	غيرُ مقيس	
INJ-0337	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0338	P2	لا	مُغلقٌ بشاهد	
INJ-0339	P2	لا	غيرُ مقيس	
INJ-0340	P2	لا	غيرُ مقيس	
INJ-0341	P2	لا	مُغلقٌ بشاهد	tests/rfq_lowest_badge_test.php
INJ-0342	P2	نعم	غيرُ مقيس	
INJ-0343	P2	نعم	غيرُ مقيس	
INJ-0344	P2	نعم	مُغلقٌ بشاهد	
INJ-0345	P2	نعم	غيرُ مقيس	
INJ-0346	P2	نعم	غيرُ مقيس	
INJ-0347	P2	لا	مُغلقٌ بشاهد	
INJ-0348	P2	نعم	مُغلقٌ بشاهد	
INJ-0349	P2	لا	مُغلقٌ بشاهد	
INJ-0350	P2	نعم	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0351	P2	نعم	غيرُ مقيس	
INJ-0352	P2	نعم	مُغلق	tests/idempotency_and_race_test.php
INJ-0353	P2	نعم	غيرُ مقيس	
INJ-0354	P2	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php
INJ-0355	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0356	P2	لا	غيرُ مقيس	
INJ-0357	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0358	P2	لا	غيرُ مقيس	
INJ-0359	P2	لا	مُغلقٌ بشاهد	
INJ-0360	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0361	P2	لا	غيرُ مقيس	
INJ-0362	P2	نعم	غيرُ مقيس	
INJ-0363	P2	نعم	غيرُ مقيس	
INJ-0364	P2	لا	غيرُ مقيس	
INJ-0365	P2	نعم	مُغلقٌ بشاهد	
INJ-0366	P2	نعم	غيرُ مقيس	
INJ-0367	P2	لا	غيرُ مقيس	
INJ-0368	P2	لا	مُغلقٌ بشاهد	
INJ-0369	P2	نعم	مُغلقٌ بشاهد	
INJ-0370	P2	نعم	غيرُ مقيس	
INJ-0371	P2	نعم	مُغلقٌ بشاهد	
INJ-0372	P2	لا	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0373	P2	لا	غيرُ مقيس	
INJ-0374	P2	نعم	غيرُ مقيس	
INJ-0375	P2	نعم	غيرُ مقيس	
INJ-0376	P2	نعم	غيرُ مقيس	
INJ-0377	P2	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0378	P2	لا	مُغلقٌ بشاهد	tests/offline_outbox_test.php
INJ-0379	P2	نعم	غيرُ مقيس	
INJ-0380	P2	نعم	مُغلقٌ بشاهد	
INJ-0381	P2	نعم	غيرُ مقيس	
INJ-0382	P2	لا	غيرُ مقيس	
INJ-0383	P2	نعم	غيرُ مقيس	
INJ-0384	P2	لا	غيرُ مقيس	
INJ-0385	P2	نعم	غيرُ مقيس	
INJ-0386	P2	لا	غيرُ مقيس	
INJ-0387	P2	لا	غيرُ مقيس	
INJ-0388	P2	لا	غيرُ مقيس	
INJ-0389	P2	لا	غيرُ مقيس	
INJ-0390	P2	نعم	غيرُ مقيس	
INJ-0391	P2	لا	مُغلقٌ بشاهد	
INJ-0392	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0393	P2	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0394	P2	لا	غيرُ مقيس	
INJ-0395	P2	نعم	غيرُ مقيس	
INJ-0396	P2	نعم	مُغلقٌ بشاهد	
INJ-0397	P2	نعم	غيرُ مقيس	
INJ-0398	P2	لا	مُغلقٌ بشاهد	
INJ-0399	P2	لا	غيرُ مقيس	
INJ-0400	P2	لا	غيرُ مقيس	
INJ-0401	P2	نعم	غيرُ مقيس	
INJ-0402	P2	نعم	غيرُ مقيس	
INJ-0403	P2	نعم	غيرُ مقيس	
INJ-0404	P2	لا	مُغلقٌ بشاهد	
INJ-0405	P2	نعم	غيرُ مقيس	
INJ-0406	P2	نعم	غيرُ مقيس	
INJ-0407	P2	نعم	مُغلق	tests/workspace_counters_tenant_test.php
INJ-0408	P2	نعم	مُغلق	tests/workspace_counters_tenant_test.php
INJ-0409	P2	نعم	غيرُ مقيس	
INJ-0410	P2	نعم	غيرُ مقيس	
INJ-0411	P3	لا	غيرُ مقيس	
INJ-0412	P3	نعم	مُغلقٌ بشاهد	tests/dept_space_screens_test.php · tools/build_dept_space_wrappers.php
INJ-0413	P3	لا	غيرُ مقيس	
INJ-0414	P3	لا	مُغلقٌ بشاهد	
INJ-0415	P3	لا	غيرُ مقيس	
INJ-0416	P3	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0417	P3	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0418	P3	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0419	P3	لا	مُغلق	tests/screen_columns_declared_test.php
INJ-0420	P3	لا	غيرُ مقيس	
INJ-0421	P3	لا	غيرُ مقيس	
INJ-0422	P3	نعم	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0423	P3	لا	غيرُ مقيس	
INJ-0424	P3	لا	مُغلق	tests/idempotency_and_race_test.php
INJ-0425	P3	لا	مُغلق	tests/workspace_counters_tenant_test.php
INJ-0426	P3	لا	مُغلقٌ بشاهد	
INJ-0427	P3	لا	غيرُ مقيس	
INJ-0428	P3	لا	مُغلقٌ بشاهد	
INJ-0429	P3	لا	غيرُ مقيس	
INJ-0430	P3	لا	غيرُ مقيس	
INJ-0431	P3	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0432	P3	لا	مُغلقٌ بشاهد	tests/empty_state_adoption_test.php
INJ-0433	P3	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0434	P3	لا	غيرُ مقيس	
INJ-0435	P3	لا	غيرُ مقيس	
INJ-0436	P3	لا	غيرُ مقيس	
INJ-0437	P3	لا	غيرُ مقيس	
INJ-0438	P3	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
INJ-0439	P3	لا	غيرُ مقيس	
INJ-0440	P3	لا	غيرُ مقيس	
INJ-0441	P3	لا	مُغلقٌ بشاهد	tests/contracts_layout_test.php
INJ-0442	P3	لا	مُغلقٌ بشاهد	tests/inline_styles_test.php
INJ-0443	P3	لا	مُغلقٌ بشاهد	tools/fix_od19_probe.php
INJ-0444	P3	لا	مُغلقٌ بشاهد	tools/fix_missing_screen_campaign.php
INJ-0445	P3	لا	غيرُ مقيس	
INJ-0446	P3	لا	غيرُ مقيس	
INJ-0447	P3	لا	غيرُ مقيس	
INJ-0448	P3	لا	مُغلقٌ بشاهد	
INJ-0449	P3	لا	مُغلقٌ بشاهد	tools/fix_ui68_campaign.php
