مادي,التركيبة,"وظيفة أ","وظيفة ب",القالب,الدور,أفراد,"شاشات كتابة أ","شاشات كتابة ب"
نعم,SOD-07,"مُعِدُّ المطابقةِ البنكية","معتمِدُ المطابقة",TGT-R21,21,1,Tickets/ticket_contextual_open.php,"Finance/tre_cycle_stages.php | Finance/tre_unit_roles.php"
نعم,SOD-10,"مُعِدُّ الرواتب","مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R1,1,1,"ActivityLogs/activity_logs.php | Approvals/hours_approval.php | Employees/employees.php",Operations/monthly_close.php
نعم,SOD-10,"مُعِدُّ الرواتب","مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R19,19,1,Workforce/employee_settlements.php,"Contracts/claims.php | Finance/accountants_fin.php | Finance/accounts_fin.php"
نعم,SOD-10,"مُعِدُّ الرواتب","مُطلِقُ دفعةِ الرواتبِ منفردًا",TGT-R2,2,1,"Contracts/contracts_details.php | Settings/settings.php | Suppliers/supplier_contacts.php","Suppliers/settlements.php | Suppliers/supplier_violations.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R18,18,20,"Finance/assets_fin.php | Finance/budget_form_fin.php | Finance/cost_report_fin.php",Finance/financial_statements_fin.php
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R15,15,2,"emsreports/index.php | Finance/budget_form_fin.php | Governance/exceptions.php","Governance/auth_grants.php | Governance/bus_board.php | Governance/bus_deliveries.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R17,17,2,"Finance/assets_fin.php | Finance/budget_dept.php | Finance/budget_form_fin.php","Finance/acc_trial_balance.php | Finance/budget_master.php | Finance/financial_statements_fin.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R4,4,2,"Approvals/hours_approval.php | Employees/employee_contracts.php | Employees/employees.php",Workforce/contract_registry.php
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R1,1,1,"ActivityLogs/activity_logs.php | Approvals/hours_approval.php | Employees/employees.php",Governance/signing_authority.php
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R19,19,1,"Finance/assets_fin.php | Finance/budget_form_fin.php | Finance/cost_report_fin.php","Finance/depr_run.php | Finance/financial_statements_fin.php | Governance/signing_authority.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R21,21,1,"Finance/assets_fin.php | Finance/budget_form_fin.php | Finance/cost_report_fin.php",Finance/financial_statements_fin.php
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R24,24,1,"Finance/budget_form_fin.php | Portal/my_evaluation.php","Tickets/gov_dept_crp.php | Tickets/tkt_assignment.php | Tickets/tkt_communications.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R28,28,1,Risk/dept_risk_space.php,"Risk/risk_acceptance.php | Risk/risk_appetite.php | Risk/risk_assessment.php"
لا,SOD-11,"مسجِّلُ الأصل","معتمِدُ التخلصِ منه منفردًا",TGT-R29,29,1,Risk/dept_risk_space.php,"Risk/risk_acceptance.php | Risk/risk_appetite.php | Risk/risk_assessment.php"
